,bill_id,bill_slug,bill_type,number,bill_uri,title,short_title,sponsor_id,sponsor_uri,sponsor_title,sponsor_name,sponsor_state,sponsor_party,introduced_date,cosponsors,cosponsors_by_party,committees,committee_codes,subcommittee_codes,primary_subject,latest_major_action_date,latest_major_action,active,last_vote,enacted,vetoed,gpo_pdf_uri,congressdotgov_url,govtrack_url,house_passage,senate_passage,summary,summary_short
0,hr8582-116,hr8582,hr,H.R.8582,https://api.propublica.org/congress/v1/116/bills/hr8582.json,"To amend the Clean Air Act to establish a tradeable performance standard covering emissions from the electricity generation and industrial sectors, and for other purposes.",Tradeable Performance Standard Act,C001117,https://api.propublica.org/congress/v1/members/C001117.json,Rep.,Sean Casten,IL,D,2020-10-13,2,{'D': 2},House Energy and Commerce Committee,[],[],Environmental Protection,2020-10-13,Referred to the House Committee on Energy and Commerce.,False,,,,,https://www.congress.gov/bill/116th-congress/house-bill/8582,https://www.govtrack.us/congress/bills/116/hr8582,,,,
1,hr7304-116,hr7304,hr,H.R.7304,https://api.propublica.org/congress/v1/116/bills/hr7304.json,"To authorize the Administrator of the Environmental Protection Agency to award grants to eligible entities to reduce greenhouse gas emissions at ports, and for other purposes.",Climate Action Planning for Ports Act of 2020,B001303,https://api.propublica.org/congress/v1/members/B001303.json,Rep.,Lisa Blunt Rochester,DE,D,2020-06-24,0,{},House Energy and Commerce Committee,[],[],Environmental Protection,2020-06-24,Referred to the House Committee on Energy and Commerce.,False,,,,,https://www.congress.gov/bill/116th-congress/house-bill/7304,https://www.govtrack.us/congress/bills/116/hr7304,,,,
2,hr4051-116,hr4051,hr,H.R.4051,https://api.propublica.org/congress/v1/116/bills/hr4051.json,"To create a Climate Action Rebate Fund in order to efficiently reduce greenhouse gas emissions, provide a monthly rebate to the American people, encourage innovation of clean energy technologies and create new economic opportunities, ensure the resiliency of our infrastructure, assist with the transition to a clean energy economy, and leave a healthier, more stable, and more prosperous nation for future generations.",Climate Action Rebate Act of 2019,P000613,https://api.propublica.org/congress/v1/members/P000613.json,Rep.,Jimmy Panetta,CA,D,2019-07-25,5,{'D': 5},House Veterans' Affairs Committee,[],[],Taxation,2019-08-14,Referred to the Subcommittee on Health.,True,,,,,https://www.congress.gov/bill/116th-congress/house-bill/4051,https://www.govtrack.us/congress/bills/116/hr4051,,,"Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fossil fuels and carbon-intensive imported goods at the border and provides for refunds of comparable exports. The bill rebates up to 70% of net revenues from the fund to low-income individuals as a monthly dividend. Remaining revenues must be used for investment in infrastructure, energy innovation, and assistance for workers and communities to transition to a cleaner energy economy.  All carbon fee revenue must be spent in accordance with Buy American requirements and the Davis-Bacon Act (requires payment of local prevailing wage on public works projects for laborers and mechanics),","Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fo..."
3,s2284-116,s2284,s,S.2284,https://api.propublica.org/congress/v1/116/bills/s2284.json,"A bill to create a Climate Action Rebate Fund in order to efficiently reduce greenhouse gas emissions, provide a monthly rebate to the American people, encourage innovation of clean energy technologies and create new economic opportunities, ensure the resiliency of our infrastructure, assist with the transition to a clean energy economy, and leave a healthier, more stable, and more prosperous nation for future generations.",Climate Action Rebate Act of 2019,C001088,https://api.propublica.org/congress/v1/members/C001088.json,Sen.,Christopher A. Coons,DE,D,2019-07-25,1,{'D': 1},Senate Finance Committee,[],[],Taxation,2019-07-25,Read twice and referred to the Committee on Finance.,False,,,,,https://www.congress.gov/bill/116th-congress/senate-bill/2284,https://www.govtrack.us/congress/bills/116/s2284,,,"Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fossil fuels and carbon-intensive imported goods at the border and provides for refunds of comparable exports. The bill rebates up to 70% of net revenues from the fund to low-income individuals as a monthly dividend. Remaining revenues must be used for investment in infrastructure, energy innovation, and assistance for workers and communities to transition to a cleaner energy economy.  All carbon fee revenue must be spent in accordance with Buy American requirements and the Davis-Bacon Act (requires payment of local prevailing wage on public works projects for laborers and mechanics),","Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fo..."
4,s1840-116,s1840,s,S.1840,https://api.propublica.org/congress/v1/116/bills/s1840.json,"A bill to establish certain requirements for the small refineries exemption of the renewable fuels provisions under the Clean Air Act, and for other purposes.","A bill to establish certain requirements for the small refineries exemption of the renewable fuels provisions under the Clean Air Act, and for other purposes.",F000463,https://api.propublica.org/congress/v1/members/F000463.json,Sen.,Deb Fischer,NE,R,2019-06-13,16,"{'D': 10, 'R': 6}",Senate Environment and Public Works Committee,[],[],Environmental Protection,2019-06-13,Read twice and referred to the Committee on Environment and Public Works.,False,,,,,https://www.congress.gov/bill/116th-congress/senate-bill/1840,https://www.govtrack.us/congress/bills/116/s1840,,,,
5,s1614-116,s1614,s,S.1614,https://api.propublica.org/congress/v1/116/bills/s1614.json,"A bill to amend the Clean Air Act to modify the definition of ""renewable biomass"" under the renewable fuel program.","A bill to amend the Clean Air Act to modify the definition of \""renewable biomass\"" under the renewable fuel program.",W000779,https://api.propublica.org/congress/v1/members/W000779.json,Sen.,Ron Wyden,OR,D,2019-05-22,5,"{'R': 3, 'ID': 1, 'D': 1}",Senate Environment and Public Works Committee,['SSEV'],[],Environmental Protection,2019-05-22,Read twice and referred to the Committee on Environment and Public Works. (Sponsor introductory remarks on measure: CR S3062),False,,,,,https://www.congress.gov/bill/116th-congress/senate-bill/1614,https://www.govtrack.us/congress/bills/116/s1614,,,,
6,hr1391-116,hr1391,hr,H.R.1391,https://api.propublica.org/congress/v1/116/bills/hr1391.json,"To provide regulatory relief for conventional marginally producing oil and gas wells from the Environmental Protection Agency's ""Methane Rule"".",Methane Rule Relief Act of 2019,T000467,https://api.propublica.org/congress/v1/members/T000467.json,Rep.,Glenn Thompson,PA,R,2019-02-27,0,{},House Energy and Commerce Committee,[],[],Environmental Protection,2019-03-01,Referred to the Subcommittee on Environment and Climate Change.,False,,,,,https://www.congress.gov/bill/116th-congress/house-bill/1391,https://www.govtrack.us/congress/bills/116/hr1391,,,"Methane Rule Relief Act of 2019 This bill exempts certain marginally-producing oil and natural gas wells, including emission sources associated with such wells, from the Environmental Protection Agency's rule titled ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources"" and the document titled ""Control Techniques Guidelines for the Oil and Natural Gas Industry.""","Methane Rule Relief Act of 2019 This bill exempts certain marginally-producing oil and natural gas wells, including emission sources associated with such wells, from the Environmental Protection Agency's rule titled ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources"" and the document titled ""Control Techniques Guidelines for the Oil and Natural Gas Industry."""
7,s581-116,s581,s,S.581,https://api.propublica.org/congress/v1/116/bills/s581.json,"A bill to provide regulatory relief to alternative fuel producers and consumers, and for other purposes.",Fuel Choice and Deregulation Act of 2019,P000603,https://api.propublica.org/congress/v1/members/P000603.json,Sen.,Rand Paul,KY,R,2019-02-27,1,{'R': 1},Senate Environment and Public Works Committee,[],[],Environmental Protection,2019-02-27,Read twice and referred to the Committee on Environment and Public Works.,False,,,,,https://www.congress.gov/bill/116th-congress/senate-bill/581,https://www.govtrack.us/congress/bills/116/s581,,,,
8,s3727-115,s3727,s,S.3727,https://api.propublica.org/congress/v1/115/bills/s3727.json,"A bill to promote remediation of orphan hardrock mines, and for other purposes.",Good Samaritan Remediation of Orphan Hardrock Mines Act of 2018,G000562,https://api.propublica.org/congress/v1/members/G000562.json,Sen.,Cory Gardner,CO,R,2018-12-06,0,{},Senate Environment and Public Works Committee,['SSEV'],[],Environmental Protection,2018-12-06,Read twice and referred to the Committee on Environment and Public Works.,False,,,,,https://www.congress.gov/bill/115th-congress/senate-bill/3727,https://www.govtrack.us/congress/bills/115/s3727,,,,
9,hr6763-115,hr6763,hr,H.R.6763,https://api.propublica.org/congress/v1/115/bills/hr6763.json,"To amend the Gulf of Mexico Energy Security Act of 2006, and for other purposes.",Domestic Offshore Energy Reinvestment Act of 2018,G000577,https://api.propublica.org/congress/v1/members/G000577.json,Rep.,Garret Graves,LA,R,2018-09-10,0,{},House Natural Resources Committee,['HSII'],['HSII06'],Energy,2018-09-17,Referred to the Subcommittee on Energy and Mineral Resources.,False,,,,,https://www.congress.gov/bill/115th-congress/house-bill/6763,https://www.govtrack.us/congress/bills/115/hr6763,,,,
