,bill_id,member_id,vote_position
0,hr1900-113,B001271,No
1,hr1900-113,B001255,No
2,hr1900-113,B000911,Yes
3,hr1900-113,C001036,Yes
4,hr1900-113,C001083,Yes
5,hr1900-113,C001045,No
6,hr1900-113,E000290,Yes
7,hr1900-113,E000291,No
8,hr1900-113,F000030,Yes
9,hr1900-113,F000458,No
10,hr1900-113,F000451,No
11,hr1900-113,F000456,No
12,hr1900-113,F000445,No
13,hr1900-113,G000548,Not Voting
14,hr1900-113,G000564,Yes
15,hr1900-113,G000556,Yes
16,hr1900-113,H001063,Yes
17,hr1900-113,H001051,Yes
18,hr1900-113,H001055,No
19,hr1900-113,H000636,Yes
20,hr1900-113,H001034,Yes
21,hr1900-113,H001057,No
22,hr1900-113,H001060,No
23,hr1900-113,I000057,Yes
24,hr1900-113,K000363,No
25,hr1900-113,L000571,No
26,hr1900-113,M000404,Yes
27,hr1900-113,M000689,No
28,hr1900-113,M001144,No
29,hr1900-113,M001150,No
30,hr1900-113,M001191,Yes
31,hr1900-113,N000182,No
32,hr1900-113,N000185,No
33,hr1900-113,P000373,No
34,hr1900-113,R000053,Yes
35,hr1900-113,R000587,No
36,hr1900-113,R000589,No
37,hr1900-113,S000018,No
38,hr1900-113,S000030,Yes
39,hr1900-113,S001188,No
40,hr1900-113,W000796,No
41,hr1900-113,W000413,No
42,hr1900-113,B001269,No
43,hr1900-113,B000213,No
44,hr1900-113,B000287,Yes
45,hr1900-113,B001273,No
46,hr1900-113,B001227,Yes
47,hr1900-113,B001283,No
48,hr1900-113,C001037,Yes
49,hr1900-113,C001076,No
50,hr1900-113,C001077,No
51,hr1900-113,C000714,Yes
52,hr1900-113,C001038,Yes
53,hr1900-113,C001048,No
54,hr1900-113,D000620,Yes
55,hr1900-113,D000612,No
56,hr1900-113,D000604,No
57,hr1900-113,D000621,No
58,hr1900-113,D000533,No
59,hr1900-113,E000288,Yes
60,hr1900-113,E000293,Yes
61,hr1900-113,F000460,No
62,hr1900-113,F000448,No
63,hr1900-113,F000372,No
64,hr1900-113,G000289,No
65,hr1900-113,G000566,No
66,hr1900-113,G000410,No
67,hr1900-113,H001059,No
68,hr1900-113,I000056,No
69,hr1900-113,J000290,No
70,hr1900-113,J000174,No
71,hr1900-113,L000573,No
72,hr1900-113,L000567,No
73,hr1900-113,L000263,Yes
74,hr1900-113,L000554,No
75,hr1900-113,L000580,Yes
76,hr1900-113,M001181,No
77,hr1900-113,M001189,No
78,hr1900-113,M001182,No
79,hr1900-113,M001151,No
80,hr1900-113,N000184,No
81,hr1900-113,N000127,Yes
82,hr1900-113,O000170,Yes
83,hr1900-113,P000594,No
84,hr1900-113,P000588,No
85,hr1900-113,P000606,No
86,hr1900-113,P000592,No
87,hr1900-113,P000598,Not Voting
88,hr1900-113,P000602,No
89,hr1900-113,P000591,No
90,hr1900-113,R000578,No
91,hr1900-113,R000586,No
92,hr1900-113,R000409,No
93,hr1900-113,R000592,No
94,hr1900-113,R000583,No
95,hr1900-113,R000435,No
96,hr1900-113,R000580,No
97,hr1900-113,R000593,No
98,hr1900-113,R000598,No
99,hr1900-113,R000487,No
100,hr1900-113,R000570,No
101,hr1900-113,S000051,No
102,hr1900-113,S000250,No
103,hr1900-113,S001170,Yes
104,hr1900-113,S001154,No
105,hr1900-113,S000480,Yes
106,hr1900-113,S000583,No
107,hr1900-113,T000462,No
108,hr1900-113,T000465,Yes
109,hr1900-113,V000129,No
110,hr1900-113,W000799,Yes
111,hr1900-113,Y000063,No
112,hr1900-113,A000055,No
113,hr1900-113,A000367,No
114,hr1900-113,A000369,No
115,hr1900-113,B001282,No
116,hr1900-113,B001270,Yes
117,hr1900-113,B001281,Yes
118,hr1900-113,B001287,Yes
119,hr1900-113,B001257,No
120,hr1900-113,B001250,No
121,hr1900-113,B000490,Yes
122,hr1900-113,B000574,Yes
123,hr1900-113,B001278,Yes
124,hr1900-113,B000755,No
125,hr1900-113,B001274,No
126,hr1900-113,B001284,No
127,hr1900-113,B001285,Yes
128,hr1900-113,B001260,No
129,hr1900-113,B001275,No
130,hr1900-113,B001248,No
131,hr1900-113,B001286,Yes
132,hr1900-113,B001251,Yes
133,hr1900-113,C000059,No
134,hr1900-113,C001097,Yes
135,hr1900-113,C001072,Yes
136,hr1900-113,C001051,No
137,hr1900-113,C001090,Yes
138,hr1900-113,C001066,Yes
139,hr1900-113,C001091,Not Voting
140,hr1900-113,C000266,No
141,hr1900-113,C001080,Yes
142,hr1900-113,C001084,Yes
143,hr1900-113,C001067,Yes
144,hr1900-113,C001049,Yes
145,hr1900-113,C001061,Yes
146,hr1900-113,C000537,Yes
147,hr1900-113,C001068,Yes
148,hr1900-113,C001053,No
149,hr1900-113,C001093,No
150,hr1900-113,C001092,No
151,hr1900-113,C001062,No
152,hr1900-113,C001078,Yes
153,hr1900-113,C001094,No
154,hr1900-113,C000754,Yes
155,hr1900-113,C001059,Yes
156,hr1900-113,C001069,Yes
157,hr1900-113,C001087,No
158,hr1900-113,C001063,Yes
159,hr1900-113,C000984,Yes
160,hr1900-113,D000096,Yes
161,hr1900-113,D000619,No
162,hr1900-113,D000598,Yes
163,hr1900-113,D000191,Yes
164,hr1900-113,D000197,Yes
165,hr1900-113,D000216,Yes
166,hr1900-113,D000617,Yes
167,hr1900-113,D000616,No
168,hr1900-113,D000610,Yes
169,hr1900-113,D000600,No
170,hr1900-113,D000399,Yes
171,hr1900-113,D000482,Yes
172,hr1900-113,D000614,No
173,hr1900-113,D000615,No
174,hr1900-113,E000179,Yes
175,hr1900-113,E000215,Yes
176,hr1900-113,F000459,No
177,hr1900-113,F000461,No
178,hr1900-113,F000449,No
179,hr1900-113,F000454,Yes
180,hr1900-113,F000450,No
181,hr1900-113,F000462,Yes
182,hr1900-113,F000455,Yes
183,hr1900-113,G000571,Yes
184,hr1900-113,G000559,Yes
185,hr1900-113,G000563,No
186,hr1900-113,G000552,No
187,hr1900-113,G000565,No
188,hr1900-113,G000377,No
189,hr1900-113,G000560,No
190,hr1900-113,G000546,No
191,hr1900-113,G000553,No
192,hr1900-113,G000568,No
193,hr1900-113,G000551,Yes
194,hr1900-113,G000558,No
195,hr1900-113,H001052,No
196,hr1900-113,H001053,No
197,hr1900-113,H000324,Yes
198,hr1900-113,H001064,Yes
199,hr1900-113,H001056,Not Voting
200,hr1900-113,H001038,Yes
201,hr1900-113,H001047,Yes
202,hr1900-113,H001065,No
203,hr1900-113,H001066,Yes
204,hr1900-113,H000874,Not Voting
205,hr1900-113,H001067,No
206,hr1900-113,H001068,Not Voting
207,hr1900-113,H001058,No
208,hr1900-113,H001048,No
209,hr1900-113,J000032,Yes
210,hr1900-113,J000294,Not Voting
211,hr1900-113,J000292,No
212,hr1900-113,J000126,Yes
213,hr1900-113,J000288,Yes
214,hr1900-113,J000255,No
215,hr1900-113,J000289,No
216,hr1900-113,J000295,No
217,hr1900-113,K000009,Yes
218,hr1900-113,K000375,Yes
219,hr1900-113,K000385,Yes
220,hr1900-113,K000376,No
221,hr1900-113,K000379,Yes
222,hr1900-113,K000380,Yes
223,hr1900-113,K000381,Yes
224,hr1900-113,K000188,Yes
225,hr1900-113,K000210,No
226,hr1900-113,K000362,No
227,hr1900-113,K000378,No
228,hr1900-113,K000368,Yes
229,hr1900-113,K000382,Yes
230,hr1900-113,L000578,No
231,hr1900-113,L000564,No
232,hr1900-113,L000559,Yes
233,hr1900-113,L000560,Yes
234,hr1900-113,L000557,Yes
235,hr1900-113,L000566,No
236,hr1900-113,L000551,Yes
237,hr1900-113,L000287,Yes
238,hr1900-113,L000563,Yes
239,hr1900-113,L000565,Yes
240,hr1900-113,L000397,Yes
241,hr1900-113,L000576,No
242,hr1900-113,L000579,Not Voting
243,hr1900-113,L000480,Yes
244,hr1900-113,L000491,No
245,hr1900-113,L000569,No
246,hr1900-113,L000570,Yes
247,hr1900-113,L000562,Yes
248,hr1900-113,M001185,Yes
249,hr1900-113,M000087,Yes
250,hr1900-113,M001158,No
251,hr1900-113,M001179,No
252,hr1900-113,M001184,No
253,hr1900-113,M001163,Yes
254,hr1900-113,M001165,No
