,bill_id,congressdotgov_url,govtrack_url,title,summary,oil,solar,wind,hydro,nuclear,coal
0,hr8582-116,https://www.congress.gov/bill/116th-congress/house-bill/8582,https://www.govtrack.us/congress/bills/116/hr8582,"To amend the Clean Air Act to establish a tradeable performance standard covering emissions from the electricity generation and industrial sectors, and for other purposes.",,-1,1,1,1,1,-1
1,hr7304-116,https://www.congress.gov/bill/116th-congress/house-bill/7304,https://www.govtrack.us/congress/bills/116/hr7304,"To authorize the Administrator of the Environmental Protection Agency to award grants to eligible entities to reduce greenhouse gas emissions at ports, and for other purposes.",,0,1,1,1,1,0
2,hr4051-116,https://www.congress.gov/bill/116th-congress/house-bill/4051,https://www.govtrack.us/congress/bills/116/hr4051,"To create a Climate Action Rebate Fund in order to efficiently reduce greenhouse gas emissions, provide a monthly rebate to the American people, encourage innovation of clean energy technologies and create new economic opportunities, ensure the resiliency of our infrastructure, assist with the transition to a clean energy economy, and leave a healthier, more stable, and more prosperous nation for future generations.","Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fossil fuels and carbon-intensive imported goods at the border and provides for refunds of comparable exports. The bill rebates up to 70% of net revenues from the fund to low-income individuals as a monthly dividend. Remaining revenues must be used for investment in infrastructure, energy innovation, and assistance for workers and communities to transition to a cleaner energy economy.  All carbon fee revenue must be spent in accordance with Buy American requirements and the Davis-Bacon Act (requires payment of local prevailing wage on public works projects for laborers and mechanics),",0,1,1,1,1,0
3,s2284-116,https://www.congress.gov/bill/116th-congress/senate-bill/2284,https://www.govtrack.us/congress/bills/116/s2284,"A bill to create a Climate Action Rebate Fund in order to efficiently reduce greenhouse gas emissions, provide a monthly rebate to the American people, encourage innovation of clean energy technologies and create new economic opportunities, ensure the resiliency of our infrastructure, assist with the transition to a clean energy economy, and leave a healthier, more stable, and more prosperous nation for future generations.","Climate Action Rebate Act of 2019 This bill imposes a carbon fee on the use, sale, or transfer of certain fossil fuels and fluorinated gases that emit greenhouse gases into the atmosphere. The fee is imposed on producers and importers of such fuels and is deposited into a Climate Action Rebate Fund established by this bill.  The bill establishes an gradual emissions reduction schedule for such fuels between 2020 and 2050 (100% reduction). The bill requires payment of an equalization fee by fossil fuels and carbon-intensive imported goods at the border and provides for refunds of comparable exports. The bill rebates up to 70% of net revenues from the fund to low-income individuals as a monthly dividend. Remaining revenues must be used for investment in infrastructure, energy innovation, and assistance for workers and communities to transition to a cleaner energy economy.  All carbon fee revenue must be spent in accordance with Buy American requirements and the Davis-Bacon Act (requires payment of local prevailing wage on public works projects for laborers and mechanics),",-1,0,0,0,0,-1
4,s1840-116,https://www.congress.gov/bill/116th-congress/senate-bill/1840,https://www.govtrack.us/congress/bills/116/s1840,"A bill to establish certain requirements for the small refineries exemption of the renewable fuels provisions under the Clean Air Act, and for other purposes.",,1,0,0,0,0,0
5,s1614-116,https://www.congress.gov/bill/116th-congress/senate-bill/1614,https://www.govtrack.us/congress/bills/116/s1614,"A bill to amend the Clean Air Act to modify the definition of ""renewable biomass"" under the renewable fuel program.",,0,0,0,0,0,0
6,hr1391-116,https://www.congress.gov/bill/116th-congress/house-bill/1391,https://www.govtrack.us/congress/bills/116/hr1391,"To provide regulatory relief for conventional marginally producing oil and gas wells from the Environmental Protection Agency's ""Methane Rule"".","Methane Rule Relief Act of 2019 This bill exempts certain marginally-producing oil and natural gas wells, including emission sources associated with such wells, from the Environmental Protection Agency's rule titled ""Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources"" and the document titled ""Control Techniques Guidelines for the Oil and Natural Gas Industry.""",1,0,0,0,0,0
7,s581-116,https://www.congress.gov/bill/116th-congress/senate-bill/581,https://www.govtrack.us/congress/bills/116/s581,"A bill to provide regulatory relief to alternative fuel producers and consumers, and for other purposes.",,1,0,0,0,0,0
8,s3727-115,https://www.congress.gov/bill/115th-congress/senate-bill/3727,https://www.govtrack.us/congress/bills/115/s3727,"A bill to promote remediation of orphan hardrock mines, and for other purposes.",,0,0,0,0,0,1
9,hr6763-115,https://www.congress.gov/bill/115th-congress/house-bill/6763,https://www.govtrack.us/congress/bills/115/hr6763,"To amend the Gulf of Mexico Energy Security Act of 2006, and for other purposes.",,1,0,0,0,0,0
