Recipient,Total,Party,Chamber
"Portman, Rob",20400,Republican,Senate
"Blunt, Roy",38000,Republican,Senate
"Angle, Sharron",5000,Republican,Senate
"Fiorina, Carly",12000,Republican,Senate
"Buck, Ken",15000,Republican,Senate
"Mongiardo, Daniel",5000,Democrat,Senate
"Rubio, Marco",5000,Republican,Senate
"Toomey, Pat",31000,Republican,Senate
"Kirk, Mark",22000,Republican,House
"Burr, Richard",15000,Republican,Senate
"Rossi, Dino",6000,Republican,Senate
"Templeman, Mike",5000,Republican,House
"Johnson, Ron",2000,Republican,Senate
"McKinley, David",51000,Republican,House
"Bayh, Evan",10500,Democrat,Senate
"Young, Todd",11000,Republican,House
"Sullivan, John",11000,Republican,House
"Burns, Timothy R",6000,Republican,House
"Gibbs, Bob",21000,Republican,House
"Boren, Dan",5400,Democrat,House
"Whitfield, Ed",44500,Republican,House
"Rogers, Hal",40000,Republican,House
"Manchin, Joe",46000,Democrat,Senate
"Davis, Geoff",16000,Republican,House
"Hurt, Robert",6000,Republican,House
"Chabot, Steve",2000,Republican,House
"Altmire, Jason",20000,Democrat,House
"Specter, Arlen",13000,Democrat,Senate
"Bunning, Jim",3000,Republican,Senate
"Costello, Jerry F",13500,Democrat,House
"Harris, Andy",9000,Republican,House
"Maynard, Elliott",2000,Republican,House
"Donnelly, Joe",5000,Democrat,House
"Griffith, Morgan",39000,Republican,House
"Coats, Dan",8000,Republican,Senate
"Cantor, Eric",30500,Republican,House
"Dorgan, Byron L",9000,Democrat,Senate
"Ross, Mike",7500,Democrat,House
"Boozman, John",6000,Republican,House
"Thompson, Glenn",10500,Republican,House
"Ayotte, Kelly",8000,Republican,Senate
"Lincoln, Blanche",9000,Democrat,Senate
"Guthrie, Brett",16000,Republican,House
"Bartlett, Roscoe G",8000,Republican,House
"McCaskill, Claire",16000,Democrat,Senate
"Capito, Shelley Moore",33500,Republican,House
"Lummis, Cynthia",38500,Republican,House
"Shimkus, John",37500,Republican,House
"Salazar, John",8000,Democrat,House
"Paul, Rand",10850,Republican,Senate
"Rehberg, Denny",68000,Republican,House
"Emerson, Jo Ann",13500,Republican,House
"Matheson, Jim",14000,Democrat,House
"Barr, Andy",27000,Republican,House
"Lee, Mike",10000,Republican,Senate
"Thune, John",11000,Republican,Senate
"Rockefeller, Jay",5000,Democrat,Senate
"Boucher, Rick",14500,Democrat,House
"Camp, Dave",19500,Republican,House
"Oliverio, Mike",4900,Democrat,House
"Wilson, Charlie",10000,Democrat,House
"Hoeven, John",31500,Republican,Senate
"Isakson, Johnny",7000,Republican,Senate
"Hastings, Doc",24500,Republican,House
"Murkowski, Lisa",11500,Republican,Senate
"Gardner, Cory",14500,Republican,House
"Grayson, Trey",2000,Republican,Senate
"Norton, Jane",9500,Republican,Senate
"Crapo, Mike",8500,Republican,Senate
"Bennett, Robert F",4500,Republican,Senate
"Shelby, Richard C",3500,Republican,Senate
"Barrasso, John A",24500,Republican,Senate
"Webb, Jim",8000,Democrat,Senate
"Upton, Fred",28500,Republican,House
