Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",0,0,0.09992652461425422,0.19593436198873376,0.23512123438648053,0.4028900318393338,0.0,0.06612784717119764
"Blunt, Roy",0,0,0.1707865168539326,0.15280898876404495,0.2292134831460674,0.4044943820224719,0.0,0.04269662921348315
"Angle, Sharron",0,0,0.45454545454545453,0.0,0.0,0.5454545454545454,0.0,0.0
"Fiorina, Carly",0,0,0.15384615384615385,0.0,0.0,0.8461538461538461,0.0,0.0
"Buck, Ken",0,0,0.2803738317757009,0.0,0.0,0.719626168224299,0.0,0.0
"Mongiardo, Daniel",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Rubio, Marco",0,0,0.06250937640646097,0.05625843876581487,0.05625843876581487,0.7687153072960944,0.0,0.05625843876581487
"Toomey, Pat",0,0,0.16666666666666666,0.15591397849462366,0.1989247311827957,0.45161290322580644,0.0,0.026881720430107527
"Kirk, Mark",0,0,0.23157894736842105,0.02631578947368421,0.02631578947368421,0.6157894736842106,0.0,0.1
"Burr, Richard",0,0,0.09036144578313253,0.1536144578313253,0.17771084337349397,0.4939759036144578,0.006024096385542169,0.0783132530120482
"Rossi, Dino",0,0,0.13636363636363635,0.0,0.0,0.8636363636363636,0.0,0.0
"Templeman, Mike",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Johnson, Ron",0,0,0.06153846153846154,0.15384615384615385,0.15384615384615385,0.5692307692307692,0.0,0.06153846153846154
"McKinley, David",0,0,0.37777777777777777,0.1037037037037037,0.18518518518518517,0.32592592592592595,0.0,0.007407407407407408
"Bayh, Evan",0,0,0.14788732394366197,0.2112676056338028,0.29577464788732394,0.2887323943661972,0.0,0.056338028169014086
"Young, Todd",0,0,0.3548387096774194,0.06451612903225806,0.06451612903225806,0.3870967741935484,0.0,0.12903225806451613
"Sullivan, John",0,0,0.05641025641025641,0.09230769230769231,0.20256410256410257,0.6230769230769231,0.0,0.02564102564102564
"Burns, Timothy R",0,0,0.24489795918367346,0.04081632653061224,0.04081632653061224,0.673469387755102,0.0,0.0
"Gibbs, Bob",0,0,0.18834080717488788,0.09865470852017937,0.18834080717488788,0.4977578475336323,0.0,0.026905829596412557
"Boren, Dan",0,0,0.05260594252313687,0.034096444227959086,0.043838285435947394,0.8694593278129567,0.0,0.0
"Whitfield, Ed",0,0,0.13146233382570163,0.22008862629246675,0.3249630723781389,0.2717872968980798,0.005908419497784343,0.04579025110782865
"Rogers, Hal",0,0,0.3524229074889868,0.1013215859030837,0.21145374449339208,0.21585903083700442,0.0,0.11894273127753303
"Manchin, Joe",0,0,0.1851106639839034,0.23943661971830985,0.323943661971831,0.22132796780684105,0.0,0.030181086519114688
"Davis, Geoff",0,0,0.18285714285714286,0.10285714285714286,0.10285714285714286,0.46285714285714286,0.0,0.14857142857142858
"Hurt, Robert",0,0,0.1,0.08333333333333333,0.18333333333333332,0.48333333333333334,0.0,0.15
"Chabot, Steve",0,0,0.019851116625310174,0.21836228287841192,0.21836228287841192,0.4392059553349876,0.0,0.10421836228287841
"Altmire, Jason",0,0,0.19833596128482037,0.2776703457987485,0.3421295332163151,0.10748817421830839,0.0,0.07437598548180763
"Specter, Arlen",0,0,0.15950920245398773,0.19631901840490798,0.19631901840490798,0.4110429447852761,0.0,0.03680981595092025
"Bunning, Jim",0,0,0.12,0.2,0.38,0.18,0.0,0.12
"Costello, Jerry F",0,0,0.19708029197080293,0.26277372262773724,0.3722627737226277,0.06569343065693431,0.0,0.10218978102189781
"Harris, Andy",0,0,0.15517241379310345,0.0,0.0,0.8448275862068966,0.0,0.0
"Maynard, Elliott",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Donnelly, Joe",0,0,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.0,0.06818181818181818,0.25
"Griffith, Morgan",0,0,0.308300395256917,0.09881422924901186,0.17786561264822134,0.3675889328063241,0.0,0.04743083003952569
"Coats, Dan",0,0,0.06808510638297872,0.13191489361702127,0.17872340425531916,0.5531914893617021,0.0,0.06808510638297872
"Cantor, Eric",0,0,0.09807137023389217,0.11254091666184349,0.19131312741561038,0.4983954880738783,0.0,0.09967909761477566
