Recipient,Total,Party,Chamber
"Specter, Arlen",33500,Democrat,Senate
"Lincoln, Blanche",114500,Democrat,Senate
"Bingaman, Jeff",14500,Democrat,Senate
"Brady, Kevin",128500,Republican,House
"Green, Gene",78000,Democrat,House
"Bennet, Michael",22000,Democrat,Senate
"Boren, Dan",89250,Democrat,House
"Begich, Mark",38000,Democrat,Senate
"Barton, Joe",145500,Republican,House
"Pomeroy, Earl",21000,Democrat,House
"Lummis, Cynthia",82500,Republican,House
"Teague, Harry",20000,Democrat,House
"Sullivan, John",121500,Republican,House
"Lankford, James",85250,Republican,House
"Manchin, Joe",55000,Democrat,Senate
"Murphy, Scott",12000,Democrat,House
"Cole, Tom",82000,Republican,House
"Coburn, Tom",72500,Republican,Senate
"Pelosi, Nancy",20000,Democrat,House
"Bennett, Robert F",56500,Republican,Senate
"Murphy, Tim",97900,Republican,House
"Phillips, George K",23340,Republican,House
"Upton, Fred",149500,Republican,House
"Mollohan, Alan B",5000,Democrat,House
"Ross, Mike",65000,Democrat,House
"Murkowski, Lisa",126500,Republican,Senate
"Granger, Kay",32000,Republican,House
"Carney, Chris",7000,Democrat,House
"Larson, John B",10000,Democrat,House
"Sessions, Pete",113500,Republican,House
"Thompson, Glenn",35500,Republican,House
"Chambliss, Saxby",6000,Republican,Senate
"Scalise, Steve",97500,Republican,House
"Hoeven, John",74500,Republican,Senate
"Markey, Ed",5000,Democrat,House
"Grassley, Chuck",58500,Republican,Senate
"Hoyer, Steny H",18000,Democrat,House
"Portman, Rob",82250,Republican,Senate
"Vitter, David",101500,Republican,Senate
"Pearce, Steve",107750,Republican,House
"Boozman, John",11000,Republican,House
"Marchant, Kenny",50500,Republican,House
"Lucas, Frank D",70500,Republican,House
"Fleming, John",44500,Republican,House
"Edwards, Chet",62000,Democrat,House
"Gillibrand, Kirsten",23000,Democrat,Senate
"Toomey, Pat",84000,Republican,Senate
"Reed, Tom",49250,Republican,House
"Capito, Shelley Moore",32000,Republican,House
"Matheson, Jim",99250,Democrat,House
"Oliverio, Mike",7000,Democrat,House
"Clyburn, James E",10500,Democrat,House
"Johnson, Sam",28800,Republican,House
"Thompson, Michael Ray",10400,Republican,House
"Gonzalez, Charlie A",27000,Democrat,House
"Gohmert, Louis B Jr",35000,Republican,House
"Melancon, Charles",31500,Democrat,House
"Burgess, Michael",76000,Republican,House
"Boustany, Charles Jr",113750,Republican,House
"Rahall, Nick",11000,Democrat,House
"Boehner, John",159000,Republican,House
"Hensarling, Jeb",63000,Republican,House
"Cassidy, Bill",67500,Republican,House
"Gardner, Cory",110000,Republican,House
"Thune, John",62500,Republican,Senate
"Blunt, Roy",90000,Republican,House
"Hall, Ralph",47500,Republican,House
"Crapo, Mike",62000,Republican,Senate
"Cantor, Eric",155000,Republican,House
"Conaway, Mike",82500,Republican,House
"Corker, Bob",59000,Republican,Senate
"Isakson, Johnny",52500,Republican,Senate
"Mica, John L",62000,Republican,House
"Kerry, John",2500,Democrat,Senate
"Duncan, John J Jr",5000,Republican,House
"Thornberry, Mac",29000,Republican,House
"Olson, Pete",88500,Republican,House
"Hill, Baron",4500,Democrat,House
"Nelson, Ben",12000,Democrat,Senate
"Cuellar, Henry",62000,Democrat,House
"Burr, Richard",82000,Republican,Senate
"Christian-Christensen, Donna",1500,Democrat,
"Cloud, Jeff",500,Republican,House
"Landry, Jeff",30250,Republican,House
"Perlmutter, Ed",6500,Democrat,House
"Griffin, Tim",55250,Republican,House
"Shuster, Bill",61000,Republican,House
"Levin, Sander",11900,Democrat,House
"Crawford, Rick",30000,Republican,House
"Dahlkemper, Kathy",2000,Democrat,House
"Stivers, Steve",45000,Republican,House
"Buerkle, Ann Marie",29500,Republican,House
"Pryor, Mark",11000,Democrat,Senate
"Gibbs, Bob",55500,Republican,House
"Kelly, Mike",29000,Republican,House
"Womack, Steve",24500,Republican,House
"Culberson, John",87000,Republican,House
"Meehan, Patrick",43000,Republican,House
"Landrieu, Mary L",27500,Democrat,Senate
"Salazar, John",25000,Democrat,House
"Poe, Ted",51500,Republican,House
"Himes, Jim",3500,Democrat,House
"Johnson, Tim",1000,Democrat,Senate
"Carter, John",50000,Republican,House
"Dent, Charlie",55500,Republican,House
"Fitzpatrick, Michael G",24750,Republican,House
"Towns, Edolphus",1000,Democrat,House
"Conrad, Kent",1000,Democrat,Senate
"Hayworth, Nan",28000,Republican,House
"Cummings, Elijah E",1000,Democrat,House
"Udall, Mark",12500,Democrat,Senate
"Alexander, Rodney",38000,Republican,House
"Richmond, Cedric",28500,Democrat,House
"Chabot, Steve",44250,Republican,House
"Fiorina, Carly",66000,Republican,Senate
"Camp, Dave",129000,Republican,House
"Kirk, Mark",58500,Republican,House
"Lungren, Dan",92000,Republican,House
"McCain, John",23500,Republican,Senate
"Rubio, Marco",61488,Republican,Senate
"DeMint, Jim",55000,Republican,Senate
"Costa, Jim",53500,Democrat,House
"McCarthy, Kevin",109500,Republican,House
"Nunes, Devin",64500,Republican,House
"Coats, Dan",65000,Republican,Senate
"Dreier, David",14000,Republican,House
"Issa, Darrell",87000,Republican,House
"Bono Mack, Mary",42000,Republican,House
"Paul, Rand",25000,Republican,Senate
"Fincher, Steve",44500,Republican,House
"Hastings, Doc",102500,Republican,House
"Rivera, David",30500,Republican,House
"Royce, Ed",18500,Republican,House
"Beutler, Jaime Herrera",32500,Republican,House
"Bass, Charles",37500,Republican,House
"Lee, Mike",20000,Republican,Senate
"Moran, Jerry",41000,Republican,Senate
"Walden, Greg",82500,Republican,House
"Ayotte, Kelly",51500,Republican,Senate
"Djou, Charles",37500,Republican,House
"Harman, Jane",4000,Democrat,House
"Taylor, Gene",9500,Democrat,House
"Bayh, Evan",20500,Democrat,Senate
"Terry, Lee",70000,Republican,House
"Herger, Wally",13500,Republican,House
"Rodriguez, Ciro D",30500,Democrat,House
"Inouye, Daniel K",4000,Democrat,Senate
"Calvert, Ken",19500,Republican,House
"McCaul, Michael",67500,Republican,House
"Ortiz, Solomon P",18900,Democrat,House
"Griffith, Parker",16500,Republican,House
"Blackburn, Marsha",87500,Republican,House
"Miller, George",6000,Democrat,House
"Barrow, John",82000,Democrat,House
"Lamborn, Douglas L",75000,Republican,House
"Davis, Geoff",40500,Republican,House
