Recipient,Total,Party,Chamber
"Grassley, Chuck",50000,Republican,Senate
"Loebsack, David",17500,Democrat,House
"Kind, Ron",76000,Democrat,House
"Feingold, Russ",3000,Democrat,Senate
"Ryan, Paul",136000,Republican,House
"Obey, David R",13675,Democrat,House
"Reid, Harry",19000,Democrat,Senate
"Harkin, Tom",8000,Democrat,Senate
"Braley, Bruce",11000,Democrat,House
"Boswell, Leonard",2000,Democrat,House
"Johnson, Ron",22500,Republican,Senate
"Baldwin, Tammy",24000,Democrat,Senate
"Boucher, Rick",103242,Democrat,House
"Klobuchar, Amy",26750,Democrat,Senate
"Kagen, Steve",2000,Democrat,House
"Gillibrand, Kirsten",28000,Democrat,Senate
"Dingell, John D",113500,Democrat,House
"Latham, Tom",38500,Republican,House
"Petri, Tom",5000,Republican,House
"Thune, John",52500,Republican,Senate
"Dorgan, Byron L",55624,Democrat,Senate
"Duffy, Sean P",46000,Republican,House
"Rangel, Charles B",6500,Democrat,House
"King, Steven A",5000,Republican,House
"Melancon, Charles",26000,Democrat,House
"Walz, Tim",13500,Democrat,House
"Boccieri, John A",13500,Democrat,House
"Griffith, Parker",19000,Republican,House
"Lassa, Julie",2000,Democrat,House
"Space, Zack",43500,Democrat,House
"Markey, Betsy",12000,Democrat,House
"Ribble, Reid",14500,Republican,House
"Blunt, Roy",111000,Republican,Senate
"Emerson, Jo Ann",28000,Republican,House
"Costello, Jerry F",25500,Democrat,House
"Shimkus, John",240000,Republican,House
"Luetkemeyer, Blaine",57000,Republican,House
"McCaskill, Claire",63132,Democrat,Senate
"Schock, Aaron",33000,Republican,House
"Clay, William L Jr",38000,Democrat,House
"Graves, Sam",52500,Republican,House
"Skelton, Ike",12500,Democrat,House
"Halvorson, Deborah",13000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",9500,Republican,House
"Carnahan, Russ",9000,Democrat,House
"Murkowski, Lisa",197500,Republican,Senate
"Barton, Joe",179000,Republican,House
"Davis, Danny K",11000,Democrat,House
"Johnson, Timothy",8000,Republican,House
"Baucus, Max",63500,Democrat,Senate
"Clyburn, James E",206998,Democrat,House
"Butterfield, G K",63500,Democrat,House
"Roskam, Peter",25000,Republican,House
"McConnell, Mitch",121500,Republican,Senate
"Cantor, Eric",81623,Republican,House
"Lincoln, Blanche",66602,Democrat,Senate
"Hoyer, Steny H",306250,Democrat,House
"Bayh, Evan",23500,Democrat,Senate
"Barrow, John",99000,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",97175,Democrat,House
"Crapo, Mike",34500,Republican,Senate
"Isakson, Johnny",38500,Republican,Senate
"Frelinghuysen, Rodney",49500,Republican,House
"Boehner, John",295500,Republican,House
"Durbin, Dick",24000,Democrat,Senate
"Specter, Arlen",16000,Democrat,Senate
"Rush, Bobby L",44500,Democrat,House
"Matheson, Jim",62550,Democrat,House
"Casey, Bob",56000,Democrat,Senate
"Simpson, Mike",58700,Republican,House
"Upton, Fred",315500,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",15500,Democrat,House
"Bingaman, Jeff",21000,Democrat,Senate
"Murphy, Tim",102500,Republican,House
"Inouye, Daniel K",12000,Democrat,Senate
"Gordon, Bart",15500,Democrat,House
"Levin, Sander",64500,Democrat,House
"Graham, Lindsey",44000,Republican,Senate
"Webb, Jim",14500,Democrat,Senate
"Thompson, Bennie G",120500,Democrat,House
"Biggert, Judy",7500,Republican,House
"Kinzinger, Adam",78500,Republican,House
"Hill, Baron",23000,Democrat,House
"Landrieu, Mary L",106500,Democrat,Senate
"Neal, Richard E",47000,Democrat,House
"Hartzler, Vicky",27500,Republican,House
"Lucas, Frank D",14500,Republican,House
"Bennett, Robert F",27000,Republican,Senate
"Pryor, Mark",61500,Democrat,Senate
"Shuler, Heath",9500,Democrat,House
"Doyle, Mike",132000,Democrat,House
"Bunning, Jim",9500,Republican,Senate
"Stabenow, Debbie",65500,Democrat,Senate
"Nelson, Ben",26000,Democrat,Senate
"Bean, Melissa",6500,Democrat,House
"Warner, Mark",21000,Democrat,Senate
"Arcuri, Mike",1000,Democrat,House
"Murphy, Scott",18000,Democrat,House
"Meeks, Gregory W",5000,Democrat,House
"Stivers, Steve",84500,Republican,House
"Manchin, Joe",112500,Democrat,Senate
"Tiberi, Pat",153500,Republican,House
"Portman, Rob",106100,Republican,Senate
"Austria, Steve",19000,Republican,House
"Fisher, Lee Irwin",11000,Democrat,Senate
"Wilson, Charlie",20000,Democrat,House
"Jordan, Jim",46500,Republican,House
"Brown, Sherrod",47000,Democrat,Senate
"Ross, Mike",44000,Democrat,House
"Hershman, Brandt",8500,Republican,House
"Latta, Robert E",76000,Republican,House
"Sullivan, John",39500,Republican,House
"Rahall, Nick",63500,Democrat,House
"Oliverio, Mike",3100,Democrat,House
"Thompson, Michael Ray",7000,Republican,House
"Bennet, Michael",40500,Democrat,Senate
"Kilroy, Mary Jo",1000,Democrat,House
"Ryan, Tim",78500,Democrat,House
"Cloud, Jeff",5000,Republican,House
"Whitfield, Ed",219500,Republican,House
"Visclosky, Pete",44500,Democrat,House
"Vitter, David",51750,Republican,Senate
"Berry, Marion",11500,Democrat,House
"Voinovich, George V",10000,Republican,Senate
"Goodlatte, Bob",36500,Republican,House
"Boozman, John",40000,Republican,Senate
"Ortiz, Solomon P",5000,Democrat,House
"Towns, Edolphus",32000,Democrat,House
"Coats, Dan",32000,Republican,Senate
"Rogers, Mike",41500,Republican,House
"Souder, Mark E",5000,Republican,House
"Inhofe, James M",53500,Republican,Senate
"Stupak, Bart",15000,Democrat,House
"Coburn, Tom",6500,Republican,Senate
"Buyer, Steve",3500,Republican,House
"Fleming, John",17900,Republican,House
"Altmire, Jason",34500,Democrat,House
"Capito, Shelley Moore",48000,Republican,Senate
"McCain, John",71000,Republican,Senate
"Hall, Ralph",40500,Republican,House
"Burr, Richard",76000,Republican,Senate
"Scalise, Steve",125200,Republican,House
"Pence, Mike",3500,Republican,House
"Cuellar, Henry",30500,Democrat,House
"Fattah, Chaka",7000,Democrat,House
"Oberstar, James L",5000,Democrat,House
"McMahon, Michael E",11000,Democrat,House
"Stutzman, Marlin",20500,Republican,House
"Markey, Ed",37500,Democrat,Senate
"Edwards, Chet",47000,Democrat,House
"Pastor, Ed",27500,Democrat,House
"Murphy, Christopher S",21000,Democrat,Senate
"Rogers, Hal",47300,Republican,House
"Hensarling, Jeb",44000,Republican,House
"Mitchell, Harry",6000,Democrat,House
"Gonzalez, Charlie A",28500,Democrat,House
