Recipient,Total,Party,Chamber
"Portman, Rob",29500,Republican,Senate
"Himes, Jim",40000,Democrat,House
"Dodd, Chris",13500,Democrat,Senate
"Shelby, Richard C",17500,Republican,Senate
"Driehaus, Steve",10000,Democrat,House
"Neal, Richard E",40000,Democrat,House
"Brown, Scott",14000,Republican,Senate
"Clyburn, James E",45000,Democrat,House
"Blumenthal, Richard",15000,Democrat,Senate
"Hatch, Orrin G",16000,Republican,Senate
"Larson, John B",23500,Democrat,House
"Blunt, Roy",24500,Republican,Senate
"Camp, Dave",39500,Republican,House
"Lincoln, Blanche",9000,Democrat,Senate
"Gillibrand, Kirsten",28500,Democrat,Senate
"McCain, John",20000,Republican,Senate
"Bennet, Michael",23000,Democrat,Senate
"Carney, John",27500,Democrat,House
"Boehner, John",45000,Republican,House
"Murphy, Scott",13000,Democrat,House
"Coakley, Martha",5000,Democrat,Senate
"Murphy, Christopher S",31000,Democrat,Senate
"Graham, Lindsey",16000,Republican,Senate
"Isakson, Johnny",34500,Republican,Senate
"Schumer, Charles E",29500,Democrat,Senate
"Berman, Howard L",8000,Democrat,House
"Yarmuth, John A",32500,Democrat,House
"Leahy, Patrick",13250,Democrat,Senate
"Dahlkemper, Kathy",7500,Democrat,House
"Fudge, Marcia L",21500,Democrat,House
"Spratt, John M Jr",12000,Democrat,House
"Inouye, Daniel K",12000,Democrat,Senate
"Tonko, Paul",44000,Democrat,House
"Bono Mack, Mary",12500,Republican,House
"Cantor, Eric",43000,Republican,House
"Vitter, David",9500,Republican,Senate
"Feingold, Russ",5500,Democrat,Senate
"Feinstein, Dianne",15000,Democrat,Senate
"Bean, Melissa",14000,Democrat,House
"Skelton, Ike",10000,Democrat,House
"Crapo, Mike",20000,Republican,Senate
"Hoyer, Steny H",51000,Democrat,House
"Smith, Adam",37500,Democrat,House
"Frelinghuysen, Rodney",43000,Republican,House
"Dicks, Norm",13500,Democrat,House
"Peters, Gary",22500,Democrat,House
"Thune, John",23500,Republican,Senate
"Burr, Richard",29000,Republican,Senate
"Davis, Geoff",13000,Republican,House
"Dreier, David",7500,Republican,House
"Pomeroy, Earl",11000,Democrat,House
"Grassley, Chuck",34000,Republican,Senate
"Levin, Sander",36000,Democrat,House
"Chandler, Ben",10500,Democrat,House
"Reid, Harry",22000,Democrat,Senate
"McKeon, Buck",22500,Republican,House
"Inglis, Bob",7500,Republican,House
"Dorgan, Byron L",10000,Democrat,Senate
"Kosmas, Suzanne",4000,Democrat,House
"Dingell, John D",17000,Democrat,House
"Pelosi, Nancy",17500,Democrat,House
"Heller, Dean",23500,Republican,Senate
"Crowley, Joseph",38000,Democrat,House
"McIntyre, Mike",23000,Democrat,House
"Young, C W Bill",22000,Republican,House
"Roskam, Peter",28500,Republican,House
"Lewis, Jerry",11000,Republican,House
"Edwards, Chet",10000,Democrat,House
"Murphy, Patrick J",2000,Democrat,House
"Arcuri, Mike",7500,Democrat,House
"Boxer, Barbara",6000,Democrat,Senate
"Shimkus, John",40000,Republican,House
"Sanchez, Loretta",16000,Democrat,House
"Waxman, Henry",10500,Democrat,House
"Blackburn, Marsha",16000,Republican,House
"Bishop, Sanford",18500,Democrat,House
"Larsen, Rick",34000,Democrat,House
"Murtha, John P",10000,Democrat,House
"Turner, Michael R",29700,Republican,House
"Barrow, John",24000,Democrat,House
"Murkowski, Lisa",31500,Republican,Senate
"Teague, Harry",2000,Democrat,House
"Childers, Travis",7000,Democrat,House
"Boucher, Rick",11000,Democrat,House
"Kilpatrick, Carolyn Cheeks",6000,Democrat,House
"Space, Zack",5000,Democrat,House
"Marshall, Jim",7000,Democrat,House
"Israel, Steve",32000,Democrat,House
"Ryan, Tim",31000,Democrat,House
"Taylor, Gene",7000,Democrat,House
"Schiff, Adam",10000,Democrat,House
"Schultz, Debbie Wasserman",18500,Democrat,House
"Giffords, Gabrielle",6500,Democrat,House
"Garamendi, John",27500,Democrat,House
"Frank, Barney",7500,Democrat,House
"Becerra, Xavier",27000,Democrat,House
"Mica, John L",44000,Republican,House
"Whitfield, Ed",27500,Republican,House
"Conyers, John Jr",7500,Democrat,House
"Halvorson, Deborah",6250,Democrat,House
"Ryan, Paul",39000,Republican,House
"Maffei, Dan",13000,Democrat,House
"Lee, Barbara",13000,Democrat,House
"McMahon, Michael E",6000,Democrat,House
"Pence, Mike",6000,Republican,House
"Sessions, Pete",27500,Republican,House
"Guthrie, Brett",26000,Republican,House
"Kind, Ron",39000,Democrat,House
"Schwartz, Allyson",21500,Democrat,House
"Bennett, Robert F",5000,Republican,Senate
"Shuler, Heath",9000,Democrat,House
"Bachus, Spencer",18500,Republican,House
"Walden, Greg",33000,Republican,House
"Pallone, Frank Jr",54500,Democrat,House
"Matheson, Jim",22000,Democrat,House
"Maloney, Carolyn B",17500,Democrat,House
"Schmidt, Jean",12000,Republican,House
"Loebsack, David",25000,Democrat,House
"Coons, Chris",27500,Democrat,Senate
"Murray, Patty",22000,Democrat,Senate
"Wittman, Rob",16000,Republican,House
"Pitts, Joe",43000,Republican,House
"Lungren, Dan",20000,Republican,House
"McNerney, Jerry",7250,Democrat,House
"Klein, Ron",5000,Democrat,House
"McCarthy, Carolyn",13000,Democrat,House
"Kanjorski, Paul E",5000,Democrat,House
"Thornberry, Mac",31500,Republican,House
"Tiberi, Pat",37000,Republican,House
"Thompson, Bennie G",27500,Democrat,House
"Blumenauer, Earl",26500,Democrat,House
"Meeks, Gregory W",22000,Democrat,House
"Price, David",38000,Democrat,House
"Boyd, Allen",8000,Democrat,House
"Coburn, Tom",5500,Republican,Senate
"Akin, Todd",11000,Republican,House
"Boustany, Charles Jr",36000,Republican,House
"Goodlatte, Bob",25000,Republican,House
"Perlmutter, Ed",29000,Democrat,House
"Massa, Eric",2500,Democrat,House
"Rangel, Charles B",15000,Democrat,House
"Towns, Edolphus",6500,Democrat,House
"Sestak, Joe",2500,Democrat,House
"Lee, Christopher J",4500,Republican,House
"Markey, Ed",23000,Democrat,Senate
"Harman, Jane",4500,Democrat,House
"Moran, Jim",18500,Democrat,House
"McHenry, Patrick",28000,Republican,House
"Hoeven, John",13750,Republican,Senate
"Adler, John H",4000,Democrat,House
"Rothman, Steven R",10500,Democrat,House
"Gingrey, Phil",10000,Republican,House
"Foster, Bill",17750,Democrat,House
"Welch, Peter",30500,Democrat,House
"Reichert, Dave",37000,Republican,House
"Schauer, Mark",4000,Democrat,House
"Snowe, Olympia",4000,Republican,Senate
"Costello, Jerry F",7000,Democrat,House
"Royce, Ed",29000,Republican,House
"Stearns, Cliff",5000,Republican,House
"Baca, Joe",6000,Democrat,House
"McCarthy, Kevin",45000,Republican,House
"Fattah, Chaka",4000,Democrat,House
"Coble, Howard",5000,Republican,House
"DeMint, Jim",4000,Republican,Senate
"Hill, Baron",6000,Democrat,House
"Sensenbrenner, Jim",9000,Republican,House
"Biggert, Judy",14000,Republican,House
"Granger, Kay",25000,Republican,House
"Berkley, Shelley",5000,Democrat,House
"Rogers, Mike D",29500,Republican,House
"Price, Tom",42000,Republican,House
"Slaughter, Louise M",19000,Democrat,House
"Inslee, Jay",6000,Democrat,House
"Mikulski, Barbara A",9000,Democrat,Senate
"Kingston, Jack",14500,Republican,House
"Herger, Wally",4000,Republican,House
"Sanchez, Linda",20000,Democrat,House
"Murphy, Tim",19500,Republican,House
"Richardson, Laura",7000,Democrat,House
"Pascrell, Bill Jr",32000,Democrat,House
"Watt, Melvin L",6000,Democrat,House
"Rogers, Hal",27000,Republican,House
"Clarke, Yvette D",18500,Democrat,House
"Smith, Lamar",13000,Republican,House
"Cooper, Jim",13000,Democrat,House
"Rogers, Mike",21000,Republican,House
"Ellsworth, Brad",3500,Democrat,House
"Courtney, Joe",12000,Democrat,House
"Kirk, Mark",29500,Republican,Senate
"Nelson, Bill",12500,Democrat,Senate
"Gutierrez, Luis V",4500,Democrat,House
"Rush, Bobby L",15500,Democrat,House
"Bachmann, Michele",3000,Republican,House
