Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Portman, Rob",Republican,Senate,39400,97500,115100,202950,9000,33500,497450,6153194.0,S0OH00133,P000449,0.0064031785768496816,0.015845429219361523,0.01870573233998473,0.03298287035968637,0.0014626550048641405,0.005444326962549856
"Blunt, Roy",Republican,Senate,67500,87000,123000,184000,1000,28000,490500,490500.0,H6MO07128,B000575,0.13761467889908258,0.17737003058103976,0.25076452599388377,0.3751274209989806,0.0020387359836901123,0.05708460754332314
"Buck, Ken",Republican,House,17000,6500,6500,129700,0,1000,160700,794897.0,S0CO00237,B001297,0.021386418617758023,0.00817716005973101,0.00817716005973101,0.163165793807248,0.0,0.0012580246245740014
"Rubio, Marco",Republican,Senate,19000,37000,40500,179788,0,15500,291788,3497892.0,S0FL00338,R000595,0.005431842949982447,0.010577799428913185,0.011578402077594162,0.051398956857444424,0.0,0.004431240301301469
"Kirk, Mark",Republican,Senate,38500,20500,19500,97000,5000,29500,210000,4644593.2,S0IL00261,K000360,0.008289208191580697,0.00441373423188063,0.004198430123008404,0.02088449856060591,0.0010765205443611294,0.006351471211730663
"Burr, Richard",Republican,Senate,25000,75000,79000,167200,5500,29000,380700,6664452.0,S4NC00089,B001135,0.0037512461639756726,0.011253738491927017,0.011853937878163126,0.0250883343446693,0.000825274156074648,0.0043514455502117804
"Johnson, Ron",Republican,Senate,11500,23500,27000,88000,0,18000,168000,3364905.0,S0WI00197,J000293,0.0034176299182294896,0.006983852441599391,0.00802400067758228,0.026152298504712613,0.0,0.005349333785054853
"McKinley, David",Republican,House,127500,90000,127500,185000,0,8000,538000,4486216.399999999,H0WV01072,M001180,0.028420385606008666,0.020061448663064942,0.028420385606008666,0.04123742225185571,0.0,0.001783239881161328
"Young, Todd",Republican,Senate,26000,18000,20500,93000,0,22000,179500,1755652.45,H0IN09070,Y000064,0.014809309211512791,0.010252598684893472,0.011676570724462008,0.0529717598719496,0.0,0.012530953948203132
"Gibbs, Bob",Republican,House,44000,52500,80500,142500,0,23000,342500,3784723.9399999995,H0OH18077,G000563,0.011625682796827715,0.013871553337123978,0.02126971511692343,0.03765135905790794,0.0,0.006077061461978123
"Manchin, Joe",Democrat,Senate,55500,126000,158500,95500,1000,18500,455000,5386192.91,S0WV00090,M001183,0.010304124068218715,0.0233931465332533,0.02942709305968768,0.017730519793061034,0.00018565989312105792,0.003434708022739572
"Hurt, Robert",Republican,House,6000,8500,16500,53500,0,17500,102000,2603478.83,H0VA05095,H001060,0.0023046087146404797,0.0032648623457406795,0.006337673965261319,0.020549427705544278,0.0,0.006721775417701399
"Harris, Andy",Republican,House,15500,1000,1000,115500,0,0,133000,2785027.4000000004,H8MD01094,H001052,0.005565474867500405,0.0003590628946774455,0.0003590628946774455,0.04147176433524496,0.0,0.0
"Donnelly, Joe",Democrat,Senate,10500,26000,27500,5000,2500,17000,88500,4035480.6,S2IN00091,D000607,0.0026019205742185947,0.0064428509456841395,0.006814553884858225,0.00123900979724695,0.000619504898623475,0.00421263331063963
"Griffith, Morgan",Republican,House,80000,89500,116500,173068,0,25500,484568,3266334.75,H0VA09055,G000568,0.024492284509418392,0.027400743294911826,0.03566688931684053,0.05298538369345028,0.0,0.007806915687377113
"Boozman, John",Republican,Senate,8000,26000,40000,69500,0,4000,147500,147500.0,H2AR03176,B001236,0.05423728813559322,0.17627118644067796,0.2711864406779661,0.4711864406779661,0.0,0.02711864406779661
"Thompson, Glenn",Republican,House,20500,69150,70150,130000,0,19500,309300,3284922.91,H8PA05071,T000467,0.006240633513070783,0.021050722313602176,0.02135514346058124,0.03957474910727814,0.0,0.00593621236609172
"Ayotte, Kelly",Republican,Senate,8000,56500,52500,150500,1000,12000,280500,4513693.0,S0NH00235,A000368,0.0017723846083462034,0.012517466296445061,0.01163127399227196,0.03334298544451295,0.00022154807604327542,0.002658576912519305
"Guthrie, Brett",Republican,House,24500,87500,91500,189000,0,29000,421500,7390914.45,H8KY02031,G000558,0.0033148807452371472,0.011838859804418383,0.012380064824048936,0.025571937177543705,0.0,0.003923736392321521
"McCaskill, Claire",Democrat,Senate,20000,50500,81132,0,2500,11000,165132,4461431.57,S6MO00305,M001170,0.0044828660232033996,0.011319236708588584,0.01818519430972691,0.0,0.0005603582529004249,0.0024655763127618695
"Capito, Shelley Moore",Republican,Senate,104999,57000,83000,227000,0,19500,491499,1941332.58,H0WV02138,C001047,0.054086044339708136,0.029361275129890417,0.04275413746984043,0.11692999042956359,0.0,0.010044646754962512
"Lummis, Cynthia",Republican,House,68500,16000,18000,190500,0,5000,298000,1129730.95,H8WY00148,L000571,0.06063390579854434,0.014162664128127144,0.01593299714414304,0.1686242197755138,0.0,0.004425832540039733
"Shimkus, John",Republican,House,87500,308500,344000,295000,1000,49500,1085500,9142612.16,H2IL20042,S000364,0.009570568943394838,0.03374309164614066,0.03762600818888942,0.03226648958058831,0.00010937793078165529,0.005414207573691937
"Paul, Rand",Republican,Senate,25350,17000,18000,57000,0,3000,120350,878600.0,S0KY00156,P000603,0.028852720236740268,0.019348964261324837,0.02048713862963806,0.06487593899385385,0.0,0.0034145231049396768
"Barr, Andy",Republican,House,98250,34000,35000,151000,0,15000,333250,6894774.88,H0KY06104,B001282,0.014249921383945171,0.004931270504367795,0.005076307872143318,0.02190064253410403,0.0,0.0021755605166328506
"Lee, Mike",Republican,Senate,10000,12800,12800,77000,0,2500,115100,1379540.0,S0UT00165,L000577,0.007248793075952854,0.009278455137219654,0.009278455137219654,0.05581570668483697,0.0,0.0018121982689882135
"Thune, John",Republican,Senate,18000,71500,69000,126000,3500,28500,316500,4398253.0,S2SD00068,T000250,0.0040925340129365,0.01625645455138665,0.015688047049589916,0.0286477380905555,0.0007957705025154305,0.006479845520482792
"Hoeven, John",Republican,Senate,69500,59500,52000,171500,0,13750,366250,2599459.0,S0ND00093,H001061,0.026736332444558655,0.022889378135989066,0.020004162404561873,0.06597526639196848,0.0,0.005289562174283187
"Isakson, Johnny",Republican,Senate,12000,40000,42000,93500,500,35500,223500,5126993.0,S6GA00119,I000055,0.0023405532248629945,0.007801844082876649,0.008191936287020482,0.01823681054372417,9.752305103595811e-05,0.006924136623553026
"Murkowski, Lisa",Republican,Senate,41500,192500,237000,256500,7000,38000,772500,3615495.0,S4AK00099,M001153,0.011478372947549368,0.05324305523863261,0.06555119008600482,0.07094464243485332,0.0019361110995866403,0.010510317397756047
"Gardner, Cory",Republican,Senate,66500,115000,118000,380600,6500,13500,700100,5016100.74,S4CO00395,G000562,0.01325730950132393,0.022926174325597775,0.023524248438439456,0.07587566911584794,0.001295827244490309,0.0026913335077875648
"Shelby, Richard C",Republican,Senate,6000,25500,30500,69000,0,17500,148500,3267550.0,S6AL00013,S000320,0.0018362381600893637,0.007804012180379795,0.009334210647120932,0.02111673884102768,0.0,0.005355694633593977
"Barrasso, John A",Republican,Senate,85500,130000,153500,267500,2000,28000,666500,4759684.0,S6WY00068,B001261,0.017963377400684582,0.027312737568292347,0.03225004012871443,0.05620120999629387,0.00042019596258911307,0.005882743476247583
"Upton, Fred",Republican,House,45000,349500,431000,432000,0,54500,1312000,12333042.71,H6MI04113,U000031,0.003648734627628643,0.02833850560791579,0.03494676943350989,0.03502785242523497,0.0,0.004419023049016911
"Bishop, Rob",Republican,House,27000,6500,6500,163250,0,3000,206250,1976973.5699999998,H2UT01094,B001250,0.013657238725755956,0.003287853767311619,0.003287853767311619,0.08257571192517259,0.0,0.0015174709695284394
"Luetkemeyer, Blaine",Republican,House,9000,76000,86000,19500,0,32000,222500,6634261.870000001,H8MO09153,L000569,0.0013565940230212828,0.01145568286106861,0.01296300955331448,0.002939287049879446,0.0,0.004823445415186783
"Hartzler, Vicky",Republican,House,9000,38000,50000,24000,0,31000,152000,2585630.04,H0MO04086,H001053,0.0034807763913510224,0.014696611430148762,0.01933764661861679,0.00928207037693606,0.0,0.01198934090354241
"Pearce, Steve",Republican,House,8500,10000,25000,250650,0,7000,301150,1893747.21,H2NM02126,P000588,0.0044884554575792615,0.00528053583244619,0.013201339581115476,0.13235663064026376,0.0,0.003696375082712333
"Hultgren, Randy",Republican,House,7250,31500,33500,48500,0,23500,144250,4042175.3,H0IL14080,H001059,0.0017935887144726259,0.007792833724950029,0.00828761681859765,0.011998490020954806,0.0,0.005813701350359545
"Blackburn, Marsha",Republican,House,17500,53500,54500,261700,0,16000,403200,4716780.28,H2TN06030,B001243,0.0037101579809013276,0.011342482970184059,0.011554491997664135,0.05548276249153585,0.0,0.003392144439681214
"Chaffetz, Jason",Republican,House,14500,10500,10500,63500,0,13000,112000,2158946.2,H8UT03089,C001076,0.0067162396172725375,0.004863483860783562,0.004863483860783562,0.029412497634262492,0.0,0.006021456208589172
"Barton, Joe",Republican,House,28700,117500,190000,299732,0,24500,660432,3474751.32,H4TX06117,B000213,0.00825958388296979,0.03381536955571255,0.05468017204753519,0.08625998593764114,0.0,0.007050864290340064
"Moran, Jerry",Republican,Senate,2000,18500,33500,112500,1500,16500,184500,184500.0,H6KS01096,M000934,0.01084010840108401,0.1002710027100271,0.18157181571815717,0.6097560975609756,0.008130081300813009,0.08943089430894309
"Kinzinger, Adam",Republican,House,11000,124500,128000,172000,2000,52000,489500,4807435.170000001,H0IL11052,K000378,0.002288122379401738,0.02589738511231967,0.02662542405122022,0.035777913568827174,0.00041602225080031595,0.010816578520808215
"Smith, Adrian",Republican,House,10000,4000,5000,75000,0,25000,119000,5020196.93,H6NE03115,S001172,0.001991953729990429,0.0007967814919961715,0.0009959768649952145,0.014939652974928217,0.0,0.0049798843249760725
"Stivers, Steve",Republican,House,18000,71500,125000,182850,0,45000,442350,10392720.280000001,H8OH15076,S001187,0.0017319815712388247,0.00687981568575422,0.012027649800269616,0.017594046127834394,0.0,0.004329953928097062
"Stabenow, Debbie",Democrat,Senate,5500,96000,102000,6000,3000,26000,238500,5645682.51,S8MI00281,S000770,0.0009741957664565874,0.017004144287242253,0.018066903305194892,0.0010627590179526408,0.0005313795089763204,0.004605289077794777
