Recipient,Total,Party,Chamber
"Blunt, Roy",87000,Republican,Senate
"Emerson, Jo Ann",22000,Republican,House
"Costello, Jerry F",18000,Democrat,House
"Shimkus, John",308500,Republican,House
"Luetkemeyer, Blaine",76000,Republican,House
"McCaskill, Claire",50500,Democrat,Senate
"Schock, Aaron",33000,Republican,House
"Clay, William L Jr",53000,Democrat,House
"Boucher, Rick",78500,Democrat,House
"Graves, Sam",70000,Republican,House
"Skelton, Ike",11500,Democrat,House
"Halvorson, Deborah",11000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",8500,Republican,House
"Carnahan, Russ",8000,Democrat,House
"Grassley, Chuck",43500,Republican,Senate
"Murkowski, Lisa",192500,Republican,Senate
"Barton, Joe",117500,Republican,House
"Davis, Danny K",29500,Democrat,House
"Johnson, Timothy",8000,Republican,House
"Baucus, Max",58000,Democrat,Senate
"Clyburn, James E",247500,Democrat,House
"Butterfield, G K",69000,Democrat,House
"Dingell, John D",95500,Democrat,House
"Roskam, Peter",34000,Republican,House
"Dorgan, Byron L",42624,Democrat,Senate
"McConnell, Mitch",116000,Republican,Senate
"Cantor, Eric",51750,Republican,House
"Lincoln, Blanche",50500,Democrat,Senate
"Hoyer, Steny H",352250,Democrat,House
"Bayh, Evan",15000,Democrat,Senate
"Barrow, John",89500,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",45800,Democrat,House
"Crapo, Mike",35500,Republican,Senate
"Isakson, Johnny",40000,Republican,Senate
"Frelinghuysen, Rodney",57500,Republican,House
"Boehner, John",234000,Republican,House
"Durbin, Dick",35500,Democrat,Senate
"Specter, Arlen",16000,Democrat,Senate
"Rush, Bobby L",90000,Democrat,House
"Matheson, Jim",56000,Democrat,House
"Casey, Bob",64500,Democrat,Senate
"Simpson, Mike",75700,Republican,House
"Upton, Fred",349500,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",7000,Democrat,House
"Bingaman, Jeff",13500,Democrat,Senate
