Recipient,Total,Party,Chamber
"Blunt, Roy",32000,Republican,House
"Emerson, Jo Ann",10000,Republican,House
"Costello, Jerry F",11000,Democrat,House
"Shimkus, John",25000,Republican,House
"Luetkemeyer, Blaine",10000,Republican,House
"McCaskill, Claire",10000,Democrat,Senate
"Schock, Aaron",9000,Republican,House
"Clay, William L Jr",9500,Democrat,House
"Boucher, Rick",78500,Democrat,House
"Graves, Sam",9000,Republican,House
"Skelton, Ike",11500,Democrat,House
"Halvorson, Deborah",11000,Democrat,House
"Hare, Phil",8000,Democrat,House
"Akin, Todd",6500,Republican,House
"Carnahan, Russ",6000,Democrat,House
"Grassley, Chuck",24500,Republican,Senate
"Murkowski, Lisa",50500,Independent,Senate
"Barton, Joe",47500,Republican,House
"Davis, Danny K",5000,Democrat,House
"Johnson, Timothy",5000,Republican,House
"Baucus, Max",29500,Democrat,Senate
"Clyburn, James E",50000,Democrat,House
"Butterfield, G K",17000,Democrat,House
"Dingell, John D",57500,Democrat,House
"Roskam, Peter",4000,Republican,House
"Dorgan, Byron L",42624,Democrat,Senate
"McConnell, Mitch",10500,Republican,Senate
"Cantor, Eric",16000,Republican,House
"Lincoln, Blanche",50500,Democrat,Senate
"Hoyer, Steny H",66500,Democrat,House
"Bayh, Evan",15000,Democrat,Senate
"Barrow, John",22000,Democrat,House
"Bond, Christopher ""Kit""",3000,Republican,Senate
"Green, Gene",13000,Democrat,House
"Crapo, Mike",23500,Republican,Senate
"Isakson, Johnny",12500,Republican,Senate
"Frelinghuysen, Rodney",9000,Republican,House
"Boehner, John",46000,Republican,House
"Durbin, Dick",2000,Democrat,Senate
"Specter, Arlen",13000,Democrat,Senate
"Rush, Bobby L",5000,Democrat,House
"Matheson, Jim",19000,Democrat,House
"Casey, Bob",12500,Democrat,Senate
"Simpson, Mike",5000,Republican,House
"Upton, Fred",43500,Republican,House
"Conrad, Kent",12000,Democrat,Senate
"Mollohan, Alan B",7000,Democrat,House
"Bingaman, Jeff",13500,Democrat,Senate
"Murphy, Tim",16500,Republican,House
"Inouye, Daniel K",4500,Democrat,Senate
"Gordon, Bart",12500,Democrat,House
"Levin, Sander",18000,Democrat,House
"Graham, Lindsey",13000,Republican,Senate
"Webb, Jim",7000,Democrat,Senate
"Rangel, Charles B",4500,Democrat,House
"Thompson, Bennie G",24000,Democrat,House
"Biggert, Judy",1000,Republican,House
"Kinzinger, Adam",2000,Republican,House
"Hill, Baron",12000,Democrat,House
"Landrieu, Mary L",5500,Democrat,Senate
"Neal, Richard E",24000,Democrat,House
"Hartzler, Vicky",1000,Republican,House
"Lucas, Frank D",1000,Republican,House
"Bennett, Robert F",23500,Republican,Senate
"Pryor, Mark",5000,Democrat,Senate
"Shuler, Heath",8500,Democrat,House
"Doyle, Mike",22500,Democrat,House
"Bunning, Jim",5000,Republican,Senate
"Stabenow, Debbie",16500,Democrat,Senate
"Thune, John",17500,Republican,Senate
"Nelson, Ben",16000,Democrat,Senate
"Bean, Melissa",6500,Democrat,House
"Warner, Mark",2000,Democrat,Senate
"Arcuri, Mike",1000,Democrat,House
"Space, Zack",31500,Democrat,House
"Murphy, Scott",14000,Democrat,House
"Meeks, Gregory W",1500,Democrat,House
"Peters, Gary",10000,Democrat,House
"Schauer, Mark",10000,Democrat,House
"Camp, Dave",29499,Republican,House
"Miller, Candice S",10000,Republican,House
"Allen, Jason",5000,Republican,House
"Stupak, Bart",13000,Democrat,House
"Kilpatrick, Carolyn Cheeks",7000,Democrat,House
"Huizenga, Bill",7500,Republican,House
"Rogers, Mike",12000,Republican,House
"Obey, David R",12675,Democrat,House
"Benishek, Dan",8500,Republican,House
"McCain, John",36000,Republican,Senate
"Bennet, Michael",15500,Democrat,Senate
"McCotter, Thaddeus G",4500,Republican,House
"Pastor, Ed",10500,Democrat,House
"Udall, Mark",12500,Democrat,Senate
"Burr, Richard",24500,Republican,Senate
"Spratt, John M Jr",21000,Democrat,House
"Conyers, John Jr",4000,Democrat,House
"Kildee, Dale E",4000,Democrat,House
"Visclosky, Pete",18500,Democrat,House
"Amash, Justin",4500,Republican,House
"Markey, Ed",16500,Democrat,House
"Vitter, David",13000,Republican,Senate
"Walberg, Tim",2500,Republican,House
"Manchin, Joe",24500,Democrat,Senate
"McDowell, Gary J",2500,Democrat,House
"Toomey, Pat",18000,Republican,Senate
"Ryan, Paul",15000,Republican,House
"Dent, Charlie",14000,Republican,House
"Murphy, Christopher S",20500,Democrat,House
"Whitfield, Ed",15000,Republican,House
"Teague, Harry",8000,Democrat,House
"Kratovil, Frank",8500,Democrat,House
"Crowley, Joseph",16500,Democrat,House
"Ehlers, Vernon J",2000,Republican,House
"Sessions, Pete",7000,Republican,House
"Ayotte, Kelly",10000,Republican,Senate
"Rockefeller, Jay",5000,Democrat,Senate
"Mikulski, Barbara A",1000,Democrat,Senate
"Becerra, Xavier",3000,Democrat,House
"Larsen, Rick",1000,Democrat,House
"Sullivan, John",2000,Republican,House
"Klobuchar, Amy",10000,Democrat,Senate
"Quayle, Ben",3000,Republican,House
"Bass, Charles",11500,Republican,House
"Coats, Dan",11500,Republican,Senate
"Edwards, Chet",22000,Democrat,House
"Ross, Mike",21500,Democrat,House
"Kirk, Mark",1000,Republican,House
"Van Hollen, Chris",2000,Democrat,House
"Fincher, Steve",1000,Republican,House
"Rehberg, Denny",24000,Republican,House
"Murray, Patty",5500,Democrat,Senate
"Scalise, Steve",11500,Republican,House
"Shaheen, Jeanne",10000,Democrat,Senate
"Boren, Dan",3500,Democrat,House
"Griffin, Tim",4000,Republican,House
"Larson, John B",8000,Democrat,House
"Myrick, Sue",14000,Republican,House
"Petri, Tom",3000,Republican,House
"Gonzalez, Charlie A",8500,Democrat,House
"Pomeroy, Earl",22050,Democrat,House
"Shuster, Bill",12000,Republican,House
"Schultz, Debbie Wasserman",1000,Democrat,House
"Mitchell, Harry",4000,Democrat,House
"Crawford, Rick",3000,Republican,House
"Reed, Tom",1000,Republican,House
"Chambliss, Saxby",1000,Republican,Senate
"Hall, Ralph",5000,Republican,House
"Burgess, Michael",4000,Republican,House
"Altmire, Jason",12500,Democrat,House
"McCarthy, Kevin",8500,Republican,House
"Yoder, Kevin",1000,Republican,House
"Adler, John H",6500,Democrat,House
"Portman, Rob",34000,Republican,Senate
"Kind, Ron",13000,Democrat,House
"Barrasso, John A",17500,Republican,Senate
"Ryan, Tim",14000,Democrat,House
"Grijalva, Raul M",1000,Democrat,House
"Edwards, Donna",1000,Democrat,House
"Himes, Jim",13000,Democrat,House
"Bucshon, Larry",1000,Republican,House
"Walden, Greg",19250,Republican,House
"Carper, Tom",4630,Democrat,Senate
"Stivers, Steve",11000,Republican,House
"Rubio, Marco",2000,Republican,Senate
"Meehan, Patrick",4500,Republican,House
"Black, Diane",2000,Republican,House
"Clarke, Hansen",500,Democrat,House
"Driehaus, Steve",10500,Democrat,House
"Kissell, Larry",5000,Democrat,House
"Inglis, Bob",8500,Republican,House
"Etheridge, Bob",5500,Democrat,House
"Ellsworth, Brad",6500,Democrat,House
"Hagan, Kay R",8000,Democrat,Senate
"Duncan, Jeff",5500,Republican,House
"McHenry, Patrick",5500,Republican,House
"Chabot, Steve",11000,Republican,House
"McIntyre, Mike",6500,Democrat,House
"Boxer, Barbara",7000,Democrat,Senate
"Mulvaney, Mick",2500,Republican,House
"Tiberi, Pat",20000,Republican,House
"Thomas, David Lloyd",2500,Republican,House
"Brown, Sherrod",7400,Democrat,Senate
"Coble, Howard",4000,Republican,House
"Davis, Geoff",6000,Republican,House
"Schmidt, Jean",5000,Republican,House
"Conway, Jack",4500,Democrat,Senate
"Foxx, Virginia",4000,Republican,House
"Grayson, Trey",4500,Republican,Senate
"Waxman, Henry",6000,Democrat,House
"Nye, Glenn",3500,Democrat,House
"Christian-Christensen, Donna",3500,Democrat,
"Austria, Steve",7000,Republican,House
"Watt, Melvin L",2000,Democrat,House
"Stutzman, Marlin",2000,Republican,House
"Melancon, Charles",22000,Democrat,House
"Boccieri, John A",9000,Democrat,House
"Carson, Andre",2500,Democrat,House
"Gowdy, Trey",2500,Republican,House
"Towns, Edolphus",11000,Democrat,House
"Markey, Betsy",10000,Democrat,House
"Paul, Rand",2000,Republican,Senate
"Donnelly, Joe",2000,Democrat,House
"Lummis, Cynthia",4000,Republican,House
"Lieberman, Joe",5000,Independent,Senate
"Brown, Henry",2000,Republican,House
"Wilson, Charlie",10000,Democrat,House
"Lee, Barbara",2000,Democrat,House
"Latham, Tom",3500,Republican,House
"Lewis, John",6500,Democrat,House
"Bright, Bobby",13500,Democrat,House
"Fudge, Marcia L",3000,Democrat,House
"Rokita, Todd",1000,Republican,House
"Childers, Travis",20500,Democrat,House
"Miller, Brad",1000,Democrat,House
"Cummings, Elijah E",1000,Democrat,House
"Castle, Michael N",1000,Republican,House
"Sutton, Betty Sue",11000,Democrat,House
"Jones, Walter B Jr",1000,Republican,House
"Shelby, Richard C",12000,Republican,Senate
"Meek, Kendrick B",3750,Democrat,House
"Price, David",1000,Democrat,House
"Moran, Jerry",1000,Republican,House
"Risch, James E",2000,Republican,Senate
"Holden, Tim",12000,Democrat,House
"Lugar, Richard G",1000,Republican,Senate
"Boyd, Allen",11000,Democrat,House
"Pelosi, Nancy",3500,Democrat,House
"Begich, Mark",3000,Democrat,Senate
"Griffith, Parker",17000,Republican,House
"Latta, Robert E",11000,Republican,House
"Scott, Tim",1000,Republican,House
"Levin, Carl",1000,Democrat,Senate
"Nunes, Devin",3000,Republican,House
"Pence, Mike",1000,Republican,House
"Nelson, Bill",5000,Democrat,Senate
"Gillibrand, Kirsten",12000,Democrat,Senate
"Corker, Bob",2500,Republican,Senate
"Gibbs, Bob",1000,Republican,House
"DeMint, Jim",4000,Republican,Senate
"McMahon, Michael E",8000,Democrat,House
"Palazzo, Steven",10000,Republican,House
"Schumer, Charles E",6500,Democrat,Senate
"Garcia, Joe",5400,Democrat,House
"Alexander, Rodney",5000,Republican,House
"Berry, Marion",4500,Democrat,House
"Poe, Ted",4500,Republican,House
"Harper, Gregg",9000,Republican,House
"King, Pete",4000,Republican,House
"Richmond, Cedric",2500,Democrat,House
"Wicker, Roger",9000,Republican,Senate
"Nunnelee, Alan",7500,Republican,House
"Wills, Robbie",1000,Democrat,House
"Brady, Kevin",3000,Republican,House
"Israel, Steve",4500,Democrat,House
"Womack, Steve",2500,Republican,House
"Boustany, Charles Jr",2000,Republican,House
"Carter, John",2000,Republican,House
"Maffei, Dan",2000,Democrat,House
"Hastings, Alcee L",2000,Democrat,House
"Fleming, John",2000,Republican,House
"Boozman, John",2000,Republican,House
"Courtney, Joe",12000,Democrat,House
"Cassidy, Bill",4000,Republican,House
"Klein, Ron",4000,Democrat,House
"Owens, Bill",2000,Democrat,House
"Landry, Jeff",2000,Republican,House
"Tonko, Paul",1500,Democrat,House
"Granger, Kay",3500,Republican,House
"Brown, Scott",2500,Republican,Senate
"Elliott, Joyce",1000,Democrat,House
"Downer, Hunt",1000,Republican,House
"Velazquez, Nydia M",1000,Democrat,House
"Dreier, David",1000,Republican,House
"Cornyn, John",4500,Republican,Senate
"Tanner, John",1000,Democrat,House
"Jackson Lee, Sheila",1000,Democrat,House
"Bledsoe, Cecile H",1000,Republican,House
"Inhofe, James M",7000,Republican,Senate
"Fattah, Chaka",2000,Democrat,House
"Salazar, John",12000,Democrat,House
"McNerney, Jerry",2000,Democrat,House
"Alexander, Lamar",3500,Republican,Senate
"Wyden, Ron",8000,Democrat,Senate
"Clarke, Yvette D",1000,Democrat,House
"Cao, Joseph",1000,Republican,House
"Pallone, Frank Jr",8000,Democrat,House
"Lungren, Dan",1000,Republican,House
"Cardoza, Dennis",1000,Democrat,House
"Coons, Chris",1000,Democrat,Senate
"Bass, Karen",1000,Democrat,House
"Fisher, Lee Irwin",6000,Democrat,Senate
"Garrett, Scott",3500,Republican,House
"Sanchez, Loretta",500,Democrat,House
"Hilliard, Earl Frederick Jr",5500,Democrat,House
"Coakley, Martha",5000,Democrat,Senate
"Guinta, Frank",5000,Republican,House
"Ashooh, Richard E",1000,Republican,House
"DeLauro, Rosa L",2000,Democrat,House
"Whitehouse, Sheldon",2500,Democrat,Senate
"Olver, John W",2000,Democrat,House
"Hodes, Paul W",2000,Democrat,House
