Recipient,Party,Chamber,Coal Total,Hydro Total,Nuclear Total,Oil Total,Solar Total,Wind Total,Total,PAC Total,FEC Candidate ID,ID,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Romney, Mitt",Republican,,30250,10000,10000,25000,0,0,75250,75250.0,S8UT00176,R000615,0.4019933554817276,0.132890365448505,0.132890365448505,0.33222591362126247,0.0,0.0
"Barr, Andy",Republican,House,22000,2500,2500,15000,0,0,42000,436334.08,H0KY06104,B001282,0.05042008178687303,0.005729554748508299,0.005729554748508299,0.03437732849104979,0.0,0.0
"Heller, Dean",Republican,Senate,42200,17000,19000,71750,2000,11000,162950,2293503.0,S2NV00183,H001041,0.018399801526311498,0.007412242321025959,0.008284270829381954,0.03128402273727133,0.0008720285083559952,0.004796156795957973
"Flake, Jeff",Republican,House,27000,9000,10000,46000,3000,0,95000,1491114.0,S2AZ00141,F000444,0.018107267452387946,0.006035755817462649,0.006706395352736276,0.03084941862258687,0.0020119186058208827,0.0
"Massie, Thomas",Republican,House,17000,3500,3500,20000,0,2000,46000,303500.0,H2KY04121,M001184,0.05601317957166392,0.011532125205930808,0.011532125205930808,0.06589785831960461,0.0,0.006589785831960461
"Bucshon, Larry",Republican,House,16000,2000,2000,13000,0,0,33000,623567.67,H0IN08114,B001275,0.025658802997275337,0.003207350374659417,0.003207350374659417,0.02084777743528621,0.0,0.0
"McKinley, David",Republican,House,33500,14000,25000,40000,0,1000,113500,896980.82,H0WV01072,M001180,0.03734750983861617,0.015607914559421683,0.027871275998967292,0.04459404159834767,0.0,0.0011148510399586918
"Manchin, Joe",Democrat,Senate,30000,35000,48500,39500,0,4000,157000,2034918.0,S0WV00090,M001183,0.014742608793081589,0.017199710258595187,0.023833884215481903,0.019411101577557426,0.0,0.0019656811724108785
"Mullin, Markwayne",Republican,House,6000,0,0,34500,0,0,40500,308290.46,H2OK02083,M001190,0.01946216564729249,0.0,0.0,0.11190745247193182,0.0,0.0
"Inhofe, James M",Republican,Senate,7500,6000,10000,19250,0,0,42750,42750.0,S4OK00083,I000024,0.17543859649122806,0.14035087719298245,0.23391812865497075,0.4502923976608187,0.0,0.0
"Johnson, Bill",Republican,House,16000,13500,20000,54000,0,6000,109500,974233.51,H0OH06189,J000292,0.01642316737801392,0.013857047475199247,0.020528959222517403,0.05542818990079699,0.0,0.0061586877667552204
"Renacci, Jim",Republican,House,13500,11000,12000,41000,0,7000,84500,1548882.41,H0OH16097,R000586,0.008715961852778741,0.0071018948430048995,0.007747521646914436,0.02647069896029099,0.0,0.004519387627366755
"Young, Todd",Republican,House,5000,2000,2000,4500,0,4000,17500,364944.96,H0IN09070,Y000064,0.013700696126889927,0.0054802784507559715,0.0054802784507559715,0.012330626514200936,0.0,0.010960556901511943
"Walorski, Jackie",Republican,House,4500,0,1000,28000,0,1000,34500,587942.41,H0IN02190,W000813,0.007653810855386329,0.0,0.0017008468567525175,0.04762371198907049,0.0,0.0017008468567525175
"Shimkus, John",Republican,House,22500,45500,55500,58500,0,9000,191000,1591689.88,H2IL20042,S000364,0.014135919492055829,0.028585970528379565,0.03486860141373771,0.03675339067934515,0.0,0.005654367796822331
"Harris, Andy",Republican,House,6000,0,0,34000,0,0,40000,438352.5,H8MD01094,H001052,0.013687614419901791,0.0,0.0,0.07756314837944349,0.0,0.0
