Recipient,Total,Party,Chamber
"Ayotte, Kelly",11000,Republican,Senate
"Gillespie, Ed",56500,Republican,Senate
"Cornyn, John",137600,Republican,Senate
"Castro, Joaquin",24500,Democrat,House
"Sasse, Ben",54500,Republican,Senate
"Pearce, Steve",80600,Republican,House
"McConnell, Mitch",115399,Republican,Senate
"Udall, Tom",37000,Democrat,Senate
"Cassidy, Bill",61000,Republican,House
"Lankford, James",100500,Republican,House
"Scott, Tim",66500,Republican,Senate
"Landrieu, Mary L",117766,Democrat,Senate
"Centilli, Doug",10000,Republican,House
"Begich, Mark",45500,Democrat,Senate
"Gardner, Cory",105100,Republican,House
"Heitkamp, Heidi",22000,Democrat,Senate
"Sessions, Pete",52000,Republican,House
"Green, Gene",47500,Democrat,House
"Douglas, Patrice",16750,Republican,House
"Murkowski, Lisa",19100,Republican,Senate
"Boustany, Charles Jr",99500,Republican,House
"Farenthold, Blake",34500,Republican,House
"Murphy, Tim",56500,Republican,House
"Conaway, Mike",54000,Republican,House
"McCarthy, Kevin",100000,Republican,House
"Williams, Roger",51500,Republican,House
"Culberson, John",45500,Republican,House
"Enzi, Mike",84000,Republican,Senate
"Cuellar, Henry",54000,Democrat,House
"Bell, Jeff",1000,Republican,Senate
"Coats, Dan",2000,Republican,Senate
"Hall, Ralph",27000,Republican,House
"McCaul, Michael",29000,Republican,House
"Reed, Tom",55500,Republican,House
"Barton, Joe",60500,Republican,House
"Coffman, Mike",69500,Republican,House
"Kirkmeyer, Barbara",1000,Republican,House
"Tipton, Scott",54500,Republican,House
"Lamborn, Douglas L",47500,Republican,House
"Buck, Ken",29200,Republican,House
"Leing, George",1000,Republican,House
"Capito, Shelley Moore",96000,Republican,House
"Boehner, John",105000,Republican,House
"Inhofe, James M",109500,Republican,Senate
"Cole, Tom",46000,Republican,House
"McKinley, David",46000,Republican,House
"Johnson, Bill",71500,Republican,House
"Terry, Lee",41500,Republican,House
"Shuster, Bill",95000,Republican,House
"Latta, Robert E",28000,Republican,House
"Ryan, Tim",13500,Democrat,House
"Marchant, Kenny",32500,Republican,House
"Russell, Steven",17750,Republican,House
"Lucas, Frank D",42500,Republican,House
"Scalise, Steve",103500,Republican,House
"Pompeo, Mike",71500,Republican,House
"Upton, Fred",104500,Republican,House
"Mullin, Markwayne",69500,Republican,House
"Kelly, Mike",49000,Republican,House
"Tiberi, Pat",43500,Republican,House
"Roberts, Pat",100750,Republican,Senate
"Barletta, Lou",22500,Republican,House
"Costa, Jim",53000,Democrat,House
"Marino, Tom",20000,Republican,House
"Doyle, Mike",9500,Democrat,House
"Flores, Bill",74000,Republican,House
"Cramer, Robert",6500,Republican,House
"Gibbs, Bob",30500,Republican,House
"Rahall, Nick",6000,Democrat,House
"Hinojosa, Ruben",11000,Democrat,House
"Camp, Dave",51000,Republican,House
"Turner, Michael R",13500,Republican,House
"Gallego, Pete",16000,Democrat,House
"Shimkus, John",43000,Republican,House
"Udall, Mark",18500,Democrat,Senate
"Hensarling, Jeb",34500,Republican,House
"Lummis, Cynthia",40000,Republican,House
"Hoyer, Steny H",17000,Democrat,House
"Whitfield, Ed",64000,Republican,House
"Ryan, Paul",65000,Republican,House
"Cantor, Eric",77625,Republican,House
"Jenkins, Lynn",47500,Republican,House
"Thompson, Glenn",31000,Republican,House
"Stivers, Steve",30500,Republican,House
"Meehan, Patrick",24000,Republican,House
"Olson, Pete",72000,Republican,House
"Risch, James E",66500,Republican,Senate
"Brady, Kevin",96000,Republican,House
"Ratcliffe, John",8500,Republican,House
"Thornberry, Mac",12500,Republican,House
"Simpson, Mike",45000,Republican,House
"Perry, Scott",14000,Republican,House
"Johnson, Sam",11850,Republican,House
"Graham, Lindsey",30000,Republican,Senate
"Black, Diane",40500,Republican,House
"Casey, Nick",8386,Democrat,House
"Blackburn, Marsha",52500,Republican,House
"Rodgers, Cathy McMorris",46500,Republican,House
"Perlmutter, Ed",6000,Democrat,House
"Neugebauer, Randy",34500,Republican,House
"Granger, Kay",10500,Republican,House
"Larson, John B",2500,Democrat,House
"Cochran, Thad",66500,Republican,Senate
"Benishek, Dan",49000,Republican,House
"Matheson, Jim",25500,Democrat,House
"Pryor, Mark",26000,Democrat,Senate
"Jordan, Jim",17500,Republican,House
"Sessions, Jeff",43000,Republican,Senate
"Larsen, Rick",7000,Democrat,House
"Burgess, Michael",50000,Republican,House
"Bishop, Rob",34500,Republican,House
"Poe, Ted",34000,Republican,House
"McHenry, Patrick",28500,Republican,House
"Fleming, John",31500,Republican,House
"Renacci, Jim",33500,Republican,House
"Pitts, Joe",35000,Republican,House
"Thune, John",8500,Republican,Senate
"Walden, Greg",63500,Republican,House
"Carter, John",29000,Republican,House
"Gohmert, Louis B Jr",22000,Republican,House
"Dent, Charlie",27500,Republican,House
"Levin, Sander",2500,Democrat,House
"Alexander, Lamar",42500,Republican,Senate
"Gerlach, Jim",11000,Republican,House
"Griffin, Tim",21500,Republican,House
"Bridenstine, James",34500,Republican,House
"Weber, Randy",48000,Republican,House
"Joyce, David P",31500,Republican,House
"Chabot, Steve",10000,Republican,House
"Cotton, Tom",50600,Republican,House
"Richmond, Cedric",28500,Democrat,House
"Nunes, Devin",45000,Republican,House
"Kinzinger, Adam",41500,Republican,House
"Guthrie, Brett",45000,Republican,House
"Ellmers, Renee",28000,Republican,House
"Roskam, Peter",39500,Republican,House
"Barrow, John",56500,Democrat,House
"Graves, Tom",13500,Republican,House
"Griffith, Morgan",39500,Republican,House
"Mooney, Alex",13500,Republican,House
"Smith, Lamar",48500,Republican,House
"Denham, Jeff",39000,Republican,House
"Royce, Ed",28000,Republican,House
"Rounds, Mike",60000,Republican,Senate
"Palazzo, Steven",29500,Republican,House
"Land, Terri Lynn",54500,Republican,Senate
"Valadao, David",31600,Republican,House
"Southerland, Steve",39500,Republican,House
"Daines, Steven",82000,Republican,House
"Swalwell, Eric",6000,Democrat,House
"Hastings, Doc",29500,Republican,House
"Harper, Gregg",34500,Republican,House
"Issa, Darrell",44500,Republican,House
"Heck, Joe",20500,Republican,House
"Graves, Garret",50600,Republican,House
"Stefanik, Elise",22500,Republican,House
"Young, David",11500,Republican,House
"Ernst, Joni",42500,Republican,Senate
"Zinke, Ryan K",19500,Republican,House
"Nunnelee, Alan",15500,Republican,House
"Stewart, Chris",33500,Republican,House
"Comstock, Barbara",33000,Republican,House
"Mica, John L",15500,Republican,House
"Salmon, Matt",17500,Republican,House
"Cook, Paul",4000,Republican,House
"Price, Tom",30000,Republican,House
"Beutler, Jaime Herrera",13500,Republican,House
"Calvert, Ken",17500,Republican,House
"Walters, Mimi",32500,Republican,House
"Goodlatte, Bob",35000,Republican,House
"Collins, Susan M",23000,Republican,Senate
"Jackson Lee, Sheila",9500,Democrat,House
"Strickland, Tony",30500,Republican,House
"Chaffetz, Jason",17500,Republican,House
"LaMalfa, Doug",20000,Republican,House
"Rothfus, Keith J",29500,Republican,House
"McClintock, Tom",35000,Republican,House
"Tillis, Thom",54100,Republican,Senate
"Warner, Mark",4000,Democrat,Senate
"Aderholt, Robert B",7000,Republican,House
"Woodall, Rob",9500,Republican,House
"Meeks, Gregory W",6500,Democrat,House
