Recipient,Total,Party,Chamber
"Ayotte, Kelly",9000,Republican,Senate
"Portman, Rob",14000,Republican,Senate
"McCain, John",8500,Republican,Senate
"Schumer, Charles E",16000,Democrat,Senate
"Burr, Richard",15000,Republican,Senate
"Blunt, Roy",11000,Republican,Senate
"Graham, Lindsey",5000,Republican,Senate
"Kirk, Mark",16500,Republican,Senate
"Johnson, Ron",15000,Republican,Senate
"Himes, Jim",10000,Democrat,House
"Stabenow, Debbie",2000,Democrat,Senate
"Rubio, Marco",11000,Republican,Senate
"Shelby, Richard C",9000,Republican,Senate
"Murkowski, Lisa",18000,Republican,Senate
"Guinta, Frank",5000,Republican,House
"Beyer, Don",11000,Democrat,House
"Ryan, Paul",15000,Republican,House
"Bennet, Michael",9000,Democrat,Senate
"Poliquin, Bruce",13000,Republican,House
"Boustany, Charles Jr",10000,Republican,House
"Kuster, Ann",9000,Democrat,House
"Frelinghuysen, Rodney",13000,Republican,House
"Kind, Ron",10000,Democrat,House
"Blumenthal, Richard",9000,Democrat,Senate
"Comstock, Barbara",10000,Republican,House
"Neal, Richard E",10000,Democrat,House
"Lucas, Frank D",10000,Republican,House
"Reed, Tom",15000,Republican,House
"Hurd, Will",11000,Republican,House
"Bustos, Cheri",10000,Democrat,House
"Cramer, Kevin",11000,Republican,House
"Joyce, David P",10500,Republican,House
"Paulsen, Erik",12000,Republican,House
"Collins, Chris",10500,Republican,House
"Faso, John",5000,Republican,House
"Kinzinger, Adam",12000,Republican,House
"Peters, Scott",11000,Democrat,House
"Hoyer, Steny H",12500,Democrat,House
"Nunes, Devin",10000,Republican,House
"Tonko, Paul",11000,Democrat,House
"Bera, Ami",14500,Democrat,House
"Dold, Bob",16500,Republican,House
"Clyburn, James E",10000,Democrat,House
"Crapo, Mike",10000,Republican,Senate
"Blumenauer, Earl",10000,Democrat,House
"Rodgers, Cathy McMorris",10000,Republican,House
"Stivers, Steve",10000,Republican,House
"Scott, Tim",10000,Republican,Senate
"Pallone, Frank Jr",15500,Democrat,House
"Long, Billy",10000,Republican,House
"Brady, Kevin",12000,Republican,House
"Issa, Darrell",10000,Republican,House
"Dent, Charlie",13000,Republican,House
"Denham, Jeff",17000,Republican,House
"Zinke, Ryan K",10000,Republican,House
"Mica, John L",11000,Republican,House
"Scalise, Steve",13000,Republican,House
"Tiberi, Pat",12000,Republican,House
"Rogers, Mike D",10000,Republican,House
"Crowley, Joseph",10000,Democrat,House
"Walden, Greg",10000,Republican,House
"Luetkemeyer, Blaine",10000,Republican,House
"Stefanik, Elise",11000,Republican,House
"Shimkus, John",12000,Republican,House
"Young, Todd",10000,Republican,House
"Walorski, Jackie",11000,Republican,House
"Kelly, Mike",10000,Republican,House
"Shuster, Bill",16500,Republican,House
"Moore, Gwen",10000,Democrat,House
"Jenkins, Lynn",10000,Republican,House
"Heck, Dennis",10000,Democrat,House
"Leahy, Patrick",6500,Democrat,Senate
"Toomey, Pat",9500,Republican,Senate
"Wilson, Joe",7500,Republican,House
"Wagner, Ann L",8500,Republican,House
"Poe, Ted",9000,Republican,House
"Murphy, Christopher S",3500,Democrat,Senate
"Griffith, Morgan",8500,Republican,House
"Hultgren, Randy",8500,Republican,House
"Turner, Michael R",9500,Republican,House
"Knight, Steve",8500,Republican,House
"Fincher, Steve",9500,Republican,House
"Harper, Gregg",11500,Republican,House
"Johnson, Bill",10500,Republican,House
"Moulton, Seth",8000,Democrat,House
"Murphy, Patrick",4000,Democrat,House
"Grassley, Chuck",15500,Republican,Senate
"McSally, Martha",8000,Republican,House
"Granger, Kay",8000,Republican,House
"Thornberry, Mac",9000,Republican,House
"Newhouse, Dan",8000,Republican,House
"Kilmer, Derek",8000,Democrat,House
"Sanchez, Linda",8000,Democrat,House
"Smith, Adrian",8000,Republican,House
"Sinema, Kyrsten",8000,Democrat,House
"Levin, Sander",8000,Democrat,House
"Cole, Tom",8000,Republican,House
"Reichert, Dave",14000,Republican,House
"Lipinski, Daniel",8000,Democrat,House
"Isakson, Johnny",11000,Republican,Senate
"Welch, Peter",10500,Democrat,House
"Rice, Kathleen",7500,Democrat,House
"Smith, Adam",7500,Democrat,House
"Graves, Sam",7500,Republican,House
"McCarthy, Kevin",12500,Republican,House
"Rogers, Hal",7500,Republican,House
"McHenry, Patrick",7500,Republican,House
"Hoeven, John",9250,Republican,Senate
"Davis, Rodney",7500,Republican,House
"Pascrell, Bill Jr",7500,Democrat,House
"Wyden, Ron",9000,Democrat,Senate
"Curbelo, Carlos",7000,Republican,House
"Yoder, Kevin",7000,Republican,House
"DelBene, Suzan",7500,Democrat,House
"Brown, Sherrod",2000,Democrat,Senate
"Larsen, Rick",7000,Democrat,House
"Gibbs, Bob",7000,Republican,House
"Hunter, Duncan D",7000,Republican,House
"Beutler, Jaime Herrera",7000,Republican,House
"Hardy, Cresent",7000,Republican,House
"Jolly, David",6000,Republican,House
