Recipient,Total,Party,Chamber
"Morrisey, Patrick",10000,Republican,Senate
"Braun, Mike",16000,Republican,Senate
"Barr, Andy",17500,Republican,House
"Hawley, Josh",14000,Republican,Senate
"Cramer, Kevin",15000,Republican,House
"McSally, Martha",12500,Republican,House
"Yoder, Kevin",8500,Republican,House
"Heller, Dean",18000,Republican,Senate
"Blackburn, Marsha",12500,Republican,House
"Rosendale, Matt",16000,Republican,Senate
"Miller, Carol",17500,Republican,House
"Barrasso, John A",22000,Republican,Senate
"Miller, Mike",5000,Republican,House
"Hurd, Will",8000,Republican,House
"Bost, Mike",14250,Republican,House
"Hern, Kevin",5000,Republican,House
"Bucshon, Larry",7200,Republican,House
"Mooney, Alex",9500,Republican,House
"Davis, Rodney",10500,Republican,House
"Roskam, Peter",2500,Republican,House
"Love, Mia",2500,Republican,House
"Rothfus, Keith J",15000,Republican,House
"Denham, Jeff",5000,Republican,House
"Bishop, Mike",5000,Republican,House
"Griffith, Morgan",13500,Republican,House
"Poliquin, Bruce",5000,Republican,House
"Young, David",5000,Republican,House
"Tenney, Claudia",5000,Republican,House
"Lewis, Jason",5000,Republican,House
"Paulsen, Erik",5000,Republican,House
"Walters, Mimi",5000,Republican,House
"Knight, Steve",5000,Republican,House
"McCarthy, Kevin",30000,Republican,House
"Blum, Rod",5000,Republican,House
"Culberson, John",6500,Republican,House
"Valadao, David",5000,Republican,House
"Shuster, Bill",5000,Republican,House
"Taylor, Scott",7500,Republican,House
"Smucker, Lloyd",5000,Republican,House
"Pence, Greg",5000,Republican,House
"Gianforte, Greg",8500,Republican,House
"Walden, Greg",16000,Republican,House
"Foxx, Virginia",16000,Republican,House
"Ryan, Paul",2500,Republican,House
"Inhofe, James M",2500,Republican,Senate
"Bishop, Rob",10500,Republican,House
"Renacci, Jim",2500,Republican,House
"Zeldin, Lee",2500,Republican,House
"McKinley, David",16500,Republican,House
"MacArthur, Thomas",2500,Republican,House
"Walorski, Jackie",5500,Republican,House
"Johnson, Bill",19000,Republican,House
"Brooks, Susan",2500,Republican,House
"Shimkus, John",18500,Republican,House
"Saccone, Rick",11700,Republican,House
"Rogers, Hal",2000,Republican,House
"Hultgren, Randy",1250,Republican,House
"Amodei, Mark",1000,Republican,House
"Brady, Kevin",4000,Republican,House
"Comer, James",2000,Republican,House
"Cheney, Liz",16000,Republican,House
"Jenkins, Evan",5000,Republican,House
"Wagner, Ann L",8000,Republican,House
"Lamborn, Douglas L",6000,Republican,House
"Tipton, Scott",8000,Republican,House
"Manchin, Joe",6500,Democrat,Senate
"Gosar, Paul",5500,Republican,House
"Heitkamp, Heidi",10000,Democrat,Senate
"Costa, Jim",3500,Democrat,House
"LaHood, Darin",2000,Republican,House
"Gibbs, Bob",12000,Republican,House
"Smith, Jason",2000,Republican,House
"Harris, Andy",2000,Republican,House
"Smith, Adrian",1500,Republican,House
"Guthrie, Brett",2500,Republican,House
"Armstrong, Kelly",6500,Republican,House
"Heinrich, Martin",4000,Democrat,Senate
"Hollingsworth, Trey",1000,Republican,House
"Cuellar, Henry",4500,Democrat,House
"Schrader, Kurt",1000,Democrat,House
"Bishop, Sanford",2500,Democrat,House
"Peterson, Collin",1500,Democrat,House
"Walberg, Tim",1000,Republican,House
"Donnelly, Joe",3500,Democrat,Senate
"Fischer, Deb",1000,Republican,Senate
"Massie, Thomas",1000,Republican,House
"Stewart, Chris",1000,Republican,House
"Strange, Luther",11000,Republican,Senate
"Curtis, John",1000,Republican,House
"Simpson, Mike",1000,Republican,House
"Long, Billy",2000,Republican,House
"Lujan, Ben Ray",2000,Democrat,House
"Young, Todd",4500,Republican,Senate
"Young, Don",2000,Republican,House
"Graves, Garret",3000,Republican,House
"Daines, Steven",5500,Republican,Senate
"Westerman, Bruce",1000,Republican,House
"Graham, Lindsey",1000,Republican,Senate
"Barletta, Lou",10000,Republican,House
"Toomey, Pat",7500,Republican,Senate
"Flake, Jeff",5000,Republican,Senate
"Kelly, Mike",7500,Republican,House
"Reschenthaler, Guy",11000,Republican,House
"Phillips, Rupie Jr",7000,Republican,House
"Costello, Ryan",1000,Republican,House
"Perdue, David",1000,Republican,Senate
"Comstock, Barbara",1000,Republican,House
"Cline, Ben",1000,Republican,House
"Mandel, Josh",5000,Republican,Senate
"Stivers, Steve",5000,Republican,House
"Chabot, Steve",5000,Republican,House
"Joyce, David P",5000,Republican,House
"Balderson, Troy",5000,Republican,House
"Hyde-Smith, Cindy",10000,Republican,Senate
"Wicker, Roger",6000,Republican,Senate
"Armstrong, Wil",5000,Republican,House
"Hoeven, John",2000,Republican,Senate
"Koppelman, Kim A",500,Republican,House
"O'Halleran, Tom",5000,Democrat,House
"Murkowski, Lisa",4000,Republican,Senate
"McCaskill, Claire",3000,Democrat,Senate
"Clay, William L Jr",2500,Democrat,House
"King, Steven A",1000,Republican,House
"Gardner, Cory",1000,Republican,Senate
"Capito, Shelley Moore",1000,Republican,Senate
"Olson, Pete",7500,Republican,House
"Burgess, Michael",5000,Republican,House
"Cruz, Ted",2500,Republican,Senate
"Portman, Rob",5000,Republican,Senate
"Barton, Joe",4700,Republican,House
"Sessions, Pete",4500,Republican,House
"Marchant, Kenny",3500,Republican,House
"Williams, Roger",3500,Republican,House
"Johnson, Eddie Bernice",1000,Democrat,House
"Ratcliffe, John",3000,Republican,House
"Veasey, Marc",2500,Democrat,House
"McCaul, Michael",2500,Republican,House
"Vela, Filemon",2000,Democrat,House
"Conaway, Mike",2000,Republican,House
"Cole, Tom",2000,Republican,House
"Granger, Kay",2000,Republican,House
"Kinzinger, Adam",1000,Republican,House
"Arrington, Jodey",2000,Republican,House
"Pallone, Frank Jr",2000,Democrat,House
"Rush, Bobby L",2000,Democrat,House
"Bustos, Cheri",2000,Democrat,House
"Gohmert, Louis B Jr",1000,Republican,House
"Wright, Ron",1000,Republican,House
"Gooden, Lance",1000,Republican,House
"King, Angus",1500,Independent,Senate
"Latta, Robert E",1000,Republican,House
"Courtney, Joe",1000,Democrat,House
"Duckworth, Tammy",1000,Democrat,Senate
"Brown, Sherrod",1000,Democrat,Senate
"Neal, Richard E",1000,Democrat,House
"Carter, John",1000,Republican,House
"Flores, Bill",1000,Republican,House
"Panetta, Jimmy",1000,Democrat,House
"Taylor, Van",1000,Republican,House
"Lawson, Al",1000,Democrat,House
"Gonzalez, Vicente",1000,Democrat,House
"Roy, Chip",1000,Republican,House
"Doyle, Mike",1000,Democrat,House
"Lee, Barbara",1000,Democrat,House
"Casey, Bob",1000,Democrat,Senate
"Weber, Randy",1000,Republican,House
"McNerney, Jerry",1000,Democrat,House
