Recipient,Party,Chamber,Coal Ratio,Hydro Ratio,Nuclear Ratio,Oil Ratio,Solar Ratio,Wind Ratio
"Morrisey, Patrick",0,0,0.23529411764705882,0.0,0.0,0.7647058823529411,0.0,0.0
"Braun, Mike",0,0,0.19753086419753085,0.06172839506172839,0.06172839506172839,0.6481481481481481,0.0,0.030864197530864196
"Barr, Andy",0,0,0.2046783625730994,0.17543859649122806,0.17543859649122806,0.42105263157894735,0.0,0.023391812865497075
"Hawley, Josh",0,0,0.1590909090909091,0.0,0.0,0.8409090909090909,0.0,0.0
"Cramer, Kevin",0,0,0.16304347826086957,0.14673913043478262,0.125,0.5652173913043478,0.0,0.0
"McSally, Martha",0,0,0.09652509652509653,0.11583011583011583,0.11583011583011583,0.6486486486486487,0.0,0.023166023166023165
"Yoder, Kevin",0,0,0.09770114942528736,0.22413793103448276,0.29310344827586204,0.3275862068965517,0.0,0.05747126436781609
"Heller, Dean",0,0,0.1180327868852459,0.09180327868852459,0.10491803278688525,0.6032786885245902,0.03278688524590164,0.04918032786885246
"Blackburn, Marsha",0,0,0.09044862518089725,0.15195369030390737,0.15195369030390737,0.605643994211288,0.0,0.0
"Rosendale, Matt",0,0,0.5161290322580645,0.0,0.0,0.4838709677419355,0.0,0.0
"Miller, Carol",0,0,0.44871794871794873,0.15384615384615385,0.28205128205128205,0.11538461538461539,0.0,0.0
"Barrasso, John A",0,0,0.09586056644880174,0.10457516339869281,0.1568627450980392,0.5599128540305011,0.008714596949891068,0.07407407407407407
"Miller, Mike",0,0,1.0,0.0,0.0,0.0,0.0,0.0
"Hurd, Will",0,0,0.04632310364794441,0.12449334105385061,0.1360741169658367,0.6438911407064273,0.0,0.04921829762594094
"Bost, Mike",0,0,0.18688524590163935,0.2098360655737705,0.2098360655737705,0.32786885245901637,0.0,0.06557377049180328
"Hern, Kevin",0,0,0.136986301369863,0.0,0.0,0.863013698630137,0.0,0.0
"Bucshon, Larry",0,0,0.20168067226890757,0.1400560224089636,0.1400560224089636,0.35014005602240894,0.0,0.16806722689075632
"Mooney, Alex",0,0,0.2,0.23157894736842105,0.23157894736842105,0.3368421052631579,0.0,0.0
"Davis, Rodney",0,0,0.10047846889952153,0.17703349282296652,0.17703349282296652,0.44976076555023925,0.019138755980861243,0.07655502392344497
"Roskam, Peter",0,0,0.026737967914438502,0.13903743315508021,0.1443850267379679,0.5721925133689839,0.0,0.11764705882352941
"Love, Mia",0,0,0.10204081632653061,0.0,0.0,0.8979591836734694,0.0,0.0
"Rothfus, Keith J",0,0,0.22388059701492538,0.19402985074626866,0.19402985074626866,0.3880597014925373,0.0,0.0
"Denham, Jeff",0,0,0.0392156862745098,0.0784313725490196,0.0784313725490196,0.6901960784313725,0.0,0.11372549019607843
"Bishop, Mike",0,0,0.06172839506172839,0.2345679012345679,0.25925925925925924,0.3888888888888889,0.0,0.05555555555555555
"Griffith, Morgan",0,0,0.13989637305699482,0.25906735751295334,0.31088082901554404,0.27979274611398963,0.0,0.010362694300518135
"Poliquin, Bruce",0,0,0.08064516129032258,0.12096774193548387,0.11290322580645161,0.6048387096774194,0.0,0.08064516129032258
"Young, David",0,0,0.19607843137254902,0.0784313725490196,0.23529411764705882,0.1568627450980392,0.0784313725490196,0.2549019607843137
"Tenney, Claudia",0,0,0.13333333333333333,0.02666666666666667,0.02666666666666667,0.68,0.0,0.13333333333333333
"Lewis, Jason",0,0,0.09615384615384616,0.17307692307692307,0.1346153846153846,0.5961538461538461,0.0,0.0
"Paulsen, Erik",0,0,0.04642525533890436,0.18570102135561745,0.2042711234911792,0.46146703806870937,0.0,0.1021355617455896
"Walters, Mimi",0,0,0.05154639175257732,0.12886597938144329,0.12886597938144329,0.654639175257732,0.0,0.03608247422680412
"Knight, Steve",0,0,0.08620689655172414,0.05172413793103448,0.05172413793103448,0.6551724137931034,0.0,0.15517241379310345
"McCarthy, Kevin",0,0,0.12396694214876033,0.15289256198347106,0.18388429752066116,0.47107438016528924,0.010330578512396695,0.05785123966942149
"Blum, Rod",0,0,0.20833333333333334,0.041666666666666664,0.125,0.625,0.0,0.0
"Culberson, John",0,0,0.0755813953488372,0.03488372093023256,0.03488372093023256,0.7965116279069767,0.0,0.05813953488372093
"Valadao, David",0,0,0.09900990099009901,0.0891089108910891,0.0891089108910891,0.6831683168316832,0.0,0.039603960396039604
"Shuster, Bill",0,0,0.057803468208092484,0.17341040462427745,0.17341040462427745,0.5202312138728323,0.0,0.07514450867052024
"Taylor, Scott",0,0,0.13636363636363635,0.21818181818181817,0.21818181818181817,0.37272727272727274,0.0,0.05454545454545454
"Smucker, Lloyd",0,0,0.07874015748031496,0.15748031496062992,0.15748031496062992,0.5118110236220472,0.0,0.09448818897637795
"Pence, Greg",0,0,0.10989010989010989,0.21978021978021978,0.27472527472527475,0.34065934065934067,0.0,0.054945054945054944
"Gianforte, Greg",0,0,0.2786885245901639,0.03278688524590164,0.03278688524590164,0.6557377049180327,0.0,0.0
"Walden, Greg",0,0,0.05536332179930796,0.22837370242214533,0.28027681660899656,0.39273356401384085,0.0,0.04325259515570934
"Foxx, Virginia",0,0,0.32,0.18,0.18,0.3,0.0,0.02
"Ryan, Paul",0,0,0.02252252252252252,0.22522522522522523,0.20270270270270271,0.4594594594594595,0.0,0.09009009009009009
"Inhofe, James M",0,0,0.04981171172966188,0.1195481081511885,0.13947279284305325,0.6313933332005021,0.01992468469186475,0.0398493693837295
"Bishop, Rob",0,0,0.2641509433962264,0.0,0.0,0.7358490566037735,0.0,0.0
"Renacci, Jim",0,0,0.03289473684210526,0.14473684210526316,0.16447368421052633,0.6578947368421053,0.0,0.0
"Zeldin, Lee",0,0,0.08928571428571429,0.0,0.07142857142857142,0.6964285714285714,0.0,0.14285714285714285
"McKinley, David",0,0,0.2,0.17575757575757575,0.26666666666666666,0.34545454545454546,0.0,0.012121212121212121
"MacArthur, Thomas",0,0,0.078125,0.109375,0.109375,0.515625,0.0,0.1875
"Walorski, Jackie",0,0,0.04954954954954955,0.1891891891891892,0.23873873873873874,0.3963963963963964,0.0,0.12612612612612611
"Johnson, Bill",0,0,0.1292517006802721,0.23809523809523808,0.2619047619047619,0.3299319727891156,0.0,0.04081632653061224
"Brooks, Susan",0,0,0.06578947368421052,0.19736842105263158,0.19736842105263158,0.4605263157894737,0.0,0.07894736842105263
"Shimkus, John",0,0,0.07341269841269842,0.29563492063492064,0.3134920634920635,0.2757936507936508,0.003968253968253968,0.037698412698412696
"Saccone, Rick",0,0,0.27400468384074944,0.117096018735363,0.117096018735363,0.4918032786885246,0.0,0.0
"Rogers, Hal",0,0,0.07920792079207921,0.07920792079207921,0.2079207920792079,0.43564356435643564,0.0,0.19801980198019803
"Hultgren, Randy",0,0,0.02857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.11428571428571428
"Amodei, Mark",0,0,0.09090909090909091,0.0,0.09090909090909091,0.6363636363636364,0.0,0.18181818181818182
"Brady, Kevin",0,0,0.013490725126475547,0.1905564924114671,0.26644182124789206,0.45531197301854975,0.02023608768971332,0.05396290050590219
"Comer, James",0,0,0.125,0.0625,0.0625,0.5625,0.0,0.1875
"Cheney, Liz",0,0,0.29357798165137616,0.0,0.0,0.6146788990825688,0.0,0.09174311926605505
"Jenkins, Evan",0,0,0.14925373134328357,0.14925373134328357,0.29850746268656714,0.2537313432835821,0.0,0.14925373134328357
"Wagner, Ann L",0,0,0.09090909090909091,0.24431818181818182,0.35795454545454547,0.21022727272727273,0.0,0.09659090909090909
"Lamborn, Douglas L",0,0,0.2,0.03333333333333333,0.03333333333333333,0.7333333333333333,0.0,0.0
"Tipton, Scott",0,0,0.11267605633802817,0.14084507042253522,0.14084507042253522,0.6056338028169014,0.0,0.0
"Manchin, Joe",0,0,0.05371900826446281,0.2727272727272727,0.2727272727272727,0.30991735537190085,0.008264462809917356,0.08264462809917356
"Gosar, Paul",0,0,0.1896551724137931,0.08620689655172414,0.08620689655172414,0.6379310344827587,0.0,0.0
"Heitkamp, Heidi",0,0,0.07905138339920949,0.12648221343873517,0.1422924901185771,0.549407114624506,0.015810276679841896,0.08695652173913043
"Costa, Jim",0,0,0.05737704918032787,0.03278688524590164,0.03278688524590164,0.8770491803278688,0.0,0.0
"LaHood, Darin",0,0,0.02666666666666667,0.19333333333333333,0.20666666666666667,0.47333333333333333,0.013333333333333334,0.08666666666666667
"Gibbs, Bob",0,0,0.18461538461538463,0.2,0.25384615384615383,0.2846153846153846,0.0,0.07692307692307693
"Smith, Jason",0,0,0.024844720496894408,0.2546583850931677,0.2919254658385093,0.32298136645962733,0.0,0.10559006211180125
"Harris, Andy",0,0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0
"Smith, Adrian",0,0,0.061224489795918366,0.0,0.0,0.6530612244897959,0.0,0.2857142857142857
"Guthrie, Brett",0,0,0.03937007874015748,0.2047244094488189,0.2047244094488189,0.5196850393700787,0.0,0.031496062992125984
"Armstrong, Kelly",0,0,0.07878787878787878,0.09696969696969697,0.06060606060606061,0.7636363636363637,0.0,0.0
"Heinrich, Martin",0,0,0.04400440044004401,0.2145214521452145,0.27502750275027504,0.253025302530253,0.0704070407040704,0.14301430143014301
"Hollingsworth, Trey",0,0,0.03278688524590164,0.09836065573770492,0.09836065573770492,0.6065573770491803,0.0,0.16393442622950818
"Cuellar, Henry",0,0,0.041666666666666664,0.05092592592592592,0.06944444444444445,0.8101851851851852,0.0,0.027777777777777776
"Schrader, Kurt",0,0,0.012988025040912279,0.2337454866612983,0.2337454866612983,0.4415928513910175,0.0,0.07792815024547367
"Bishop, Sanford",0,0,0.07462686567164178,0.3582089552238806,0.3582089552238806,0.14925373134328357,0.029850746268656716,0.029850746268656716
"Peterson, Collin",0,0,0.0375,0.175,0.125,0.6625,0.0,0.0
"Walberg, Tim",0,0,0.011764705882352941,0.29411764705882354,0.29411764705882354,0.38823529411764707,0.0,0.011764705882352941
"Donnelly, Joe",0,0,0.07608695652173914,0.30434782608695654,0.30434782608695654,0.10869565217391304,0.021739130434782608,0.18478260869565216
"Fischer, Deb",0,0,0.010638297872340425,0.2712765957446808,0.2712765957446808,0.30851063829787234,0.02127659574468085,0.11702127659574468
"Massie, Thomas",0,0,0.1,0.1,0.1,0.6,0.0,0.1
"Stewart, Chris",0,0,0.0273972602739726,0.0,0.0,0.9178082191780822,0.0,0.0547945205479452
"Strange, Luther",0,0,0.07942238267148015,0.26353790613718414,0.26353790613718414,0.3574007220216607,0.0,0.036101083032490974
"Curtis, John",0,0,0.04878048780487805,0.0,0.0,0.9024390243902439,0.0,0.04878048780487805
"Simpson, Mike",0,0,0.024390243902439025,0.36585365853658536,0.36585365853658536,0.24390243902439024,0.0,0.0
"Long, Billy",0,0,0.022099447513812154,0.18232044198895028,0.19889502762430938,0.5027624309392266,0.0,0.09392265193370165
"Lujan, Ben Ray",0,0,0.046511627906976744,0.19767441860465115,0.37209302325581395,0.29069767441860467,0.011627906976744186,0.08139534883720931
"Young, Todd",0,0,0.5,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.0,0.0
"Young, Don",0,0,0.07547169811320754,0.0,0.0,0.7547169811320755,0.0,0.16981132075471697
"Graves, Garret",0,0,0.029644268774703556,0.07905138339920949,0.07905138339920949,0.7233201581027668,0.0,0.08893280632411067
"Daines, Steven",0,0,0.10185185185185185,0.28703703703703703,0.28703703703703703,0.2777777777777778,0.0,0.046296296296296294
"Westerman, Bruce",0,0,0.015873015873015872,0.07936507936507936,0.15873015873015872,0.6825396825396826,0.0,0.06349206349206349
