Recipient,Total,Party,Chamber
"Baldwin, Tammy",5500,Democrat,Senate
"Grothman, Glenn S",5000,Republican,House
"Loebsack, David",9000,Democrat,House
"Kind, Ron",23000,Democrat,House
"Gallagher, Mike",18000,Republican,House
"Steil, Bryan",4500,Republican,House
"Pocan, Mark",4500,Democrat,House
"Duffy, Sean P",10000,Republican,House
"Shimkus, John",79000,Republican,House
"Young, David",6000,Republican,House
"Ernst, Joni",4000,Republican,Senate
"Johnson, Ron",3000,Republican,Senate
"Walden, Greg",81000,Republican,House
"Blum, Rod",3000,Republican,House
"Scalise, Steve",33000,Republican,House
"Walberg, Tim",25000,Republican,House
"Upton, Fred",65000,Republican,House
"Sensenbrenner, Jim",2000,Republican,House
"Murkowski, Lisa",16500,Republican,Senate
"King, Steven A",2000,Republican,House
"Inhofe, James M",7000,Republican,Senate
"Perdue, David",6000,Republican,Senate
"LaHood, Darin",15500,Republican,House
"Paulsen, Erik",22000,Republican,House
"Grassley, Chuck",3000,Republican,Senate
"McCaskill, Claire",18000,Democrat,Senate
"Wagner, Ann L",31500,Republican,House
"Kinzinger, Adam",24500,Republican,House
"Bost, Mike",16000,Republican,House
"Graves, Sam",12000,Republican,House
"Long, Billy",18000,Republican,House
"Luetkemeyer, Blaine",13000,Republican,House
"Davis, Rodney",18500,Republican,House
"Smith, Jason",23500,Republican,House
"Clay, William L Jr",10000,Democrat,House
"Hartzler, Vicky",11000,Republican,House
"Bustos, Cheri",24500,Democrat,House
"Olson, Pete",28000,Republican,House
"Ryan, Paul",22500,Republican,House
"McCarthy, Kevin",44500,Republican,House
"Brady, Kevin",79000,Republican,House
"Nelson, Bill",5700,Democrat,Senate
"Heitkamp, Heidi",18000,Democrat,Senate
"Davis, Danny K",7000,Democrat,House
"Manchin, Joe",33000,Democrat,Senate
"Johnson, Bill",38500,Republican,House
"Bilirakis, Gus",14000,Republican,House
"Griffith, Morgan",30000,Republican,House
"Lance, Leonard",12500,Republican,House
"Duckworth, Tammy",2000,Democrat,Senate
"Donnelly, Joe",14000,Democrat,Senate
