Recipient,Total,Party,Chamber
"Brown, Sherrod",5000,Democrat,Senate
"Heller, Dean",5000,Republican,Senate
"Casten, Sean",8000,Democrat,House
"Heinrich, Martin",6400,Democrat,Senate
"Stefanik, Elise",2500,Republican,House
"Nelson, Bill",2000,Democrat,Senate
"Kinzinger, Adam",2000,Republican,House
"Lewis, John",2000,Democrat,House
"Young, David",2000,Republican,House
"Reed, Tom",4500,Republican,House
"Davis, Rodney",2000,Republican,House
"Stabenow, Debbie",2000,Democrat,Senate
"Lucas, Frank D",2000,Republican,House
"Barrasso, John A",2000,Republican,Senate
"Fischer, Deb",2000,Republican,Senate
"McCaskill, Claire",1000,Democrat,Senate
"Heitkamp, Heidi",2000,Democrat,Senate
"Bishop, Sanford",1000,Democrat,House
"Coffman, Mike",1000,Republican,House
"Manchin, Joe",1000,Democrat,Senate
"Ernst, Joni",1000,Republican,Senate
"Johnson, Dusty",1000,Republican,House
"Inhofe, James M",1000,Republican,Senate
"Brady, Kevin",6000,Republican,House
"Lipinski, Daniel",1000,Democrat,House
"Baldwin, Tammy",1000,Democrat,Senate
"LaHood, Darin",1000,Republican,House
"Shimkus, John",1000,Republican,House
"Loebsack, David",1000,Democrat,House
"Bustos, Cheri",1000,Democrat,House
"Gardner, Cory",500,Republican,Senate
"Arrington, Jodey",500,Republican,House
"Sinema, Kyrsten",500,Democrat,House
"Donnelly, Joe",1000,Democrat,Senate
"Lujan, Ben Ray",500,Democrat,House
"Scott, Tim",5000,Republican,Senate
"Rosen, Jacky",2700,Democrat,House
"Pelosi, Nancy",2700,Democrat,House
"Tillis, Thom",2500,Republican,Senate
"McCarthy, Kevin",2500,Republican,House
"Pallone, Frank Jr",1500,Democrat,House
"Graham, Lindsey",1000,Republican,Senate
"King, Angus",1000,Independent,Senate
