,name,session,chamber,party,fec_candidate_id,id,crp_id
0,Daniel Akaka,110,Sen.,D,,A000069,None
1,Lamar Alexander,110,Sen.,R,,A000360,N00009888
2,Wayne Allard,110,Sen.,R,,A000109,None
3,John Barrasso,110,Sen.,R,,B001261,N00006236
4,Max Baucus,110,Sen.,D,,B000243,None
5,Evan Bayh,110,Sen.,D,,B001233,None
6,Robert Bennett,110,Sen.,R,,B000382,None
7,Joseph Biden,110,Sen.,D,,B000444,None
8,Jeff Bingaman,110,Sen.,D,,B000468,None
9,Christopher Bond,110,Sen.,R,,B000611,None
10,Barbara Boxer,110,Sen.,D,,B000711,None
11,Sherrod Brown,110,Sen.,D,,B000944,N00003535
12,Sam Brownback,110,Sen.,R,,B000953,None
13,Jim Bunning,110,Sen.,R,,B001066,None
14,Richard Burr,110,Sen.,R,,B001135,N00002221
15,Robert Byrd,110,Sen.,D,,B001210,None
16,Maria Cantwell,110,Sen.,D,,C000127,N00007836
17,Benjamin Cardin,110,Sen.,D,,C000141,N00001955
18,Thomas Carper,110,Sen.,D,,C000174,N00012508
19,Bob Casey,110,Sen.,D,,C001070,N00027503
20,Saxby Chambliss,110,Sen.,R,,C000286,None
21,Hillary Clinton,110,Sen.,D,,C001041,None
22,Tom Coburn,110,Sen.,R,,C000560,None
23,Thad Cochran,110,Sen.,R,,C000567,N00003328
24,Norm Coleman,110,Sen.,R,,C001057,None
25,Susan Collins,110,Sen.,R,,C001035,N00000491
26,Kent Conrad,110,Sen.,D,,C000705,None
27,Bob Corker,110,Sen.,R,,C001071,N00027441
28,John Cornyn,110,Sen.,R,,C001056,N00024852
29,Larry Craig,110,Sen.,R,,C000858,None
30,Michael Crapo,110,Sen.,R,,C000880,N00006267
31,Jim DeMint,110,Sen.,R,,D000595,None
32,Christopher Dodd,110,Sen.,D,,D000388,None
33,Elizabeth Dole,110,Sen.,R,,D000601,None
34,Pete Domenici,110,Sen.,R,,D000407,None
35,Byron Dorgan,110,Sen.,D,,D000432,None
36,Richard Durbin,110,Sen.,D,,D000563,N00004981
37,John Ensign,110,Sen.,R,,E000194,None
38,Michael Enzi,110,Sen.,R,,E000285,N00006249
39,Russ Feingold,110,Sen.,D,,F000061,None
40,Dianne Feinstein,110,Sen.,D,,F000062,N00007364
41,Lindsey Graham,110,Sen.,R,,G000359,N00009975
42,Charles Grassley,110,Sen.,R,,G000386,N00001758
43,Judd Gregg,110,Sen.,R,,G000445,None
44,Chuck Hagel,110,Sen.,R,,H001028,None
45,Tom Harkin,110,Sen.,D,,H000206,None
46,Orrin Hatch,110,Sen.,R,,H000338,N00009869
47,Kay Hutchison,110,Sen.,R,,H001016,None
48,James Inhofe,110,Sen.,R,,I000024,N00005582
49,Daniel Inouye,110,Sen.,D,,I000025,None
50,Johnny Isakson,110,Sen.,R,,I000055,N00002593
51,Tim Johnson,110,Sen.,D,,J000177,None
52,Edward Kennedy,110,Sen.,D,,K000105,None
53,John Kerry,110,Sen.,D,,K000148,None
54,Amy Klobuchar,110,Sen.,D,,K000367,N00027500
55,Herb Kohl,110,Sen.,D,,K000305,None
56,Jon Kyl,110,Sen.,R,,K000352,None
57,Mary Landrieu,110,Sen.,D,,L000550,None
58,Frank Lautenberg,110,Sen.,D,,L000123,None
59,Patrick Leahy,110,Sen.,D,,L000174,N00009918
60,Carl Levin,110,Sen.,D,,L000261,None
61,Joseph Lieberman,110,Sen.,ID,,L000304,None
62,Blanche Lincoln,110,Sen.,D,,L000035,None
63,Trent Lott,110,Sen.,R,,L000447,None
64,Richard Lugar,110,Sen.,R,,L000504,None
65,Mel Martinez,110,Sen.,R,,M001162,None
66,John McCain,110,Sen.,R,,M000303,N00006424
67,Claire McCaskill,110,Sen.,D,,M001170,N00027694
68,Mitch McConnell,110,Sen.,R,,M000355,N00003389
69,Robert Menendez,110,Sen.,D,,M000639,N00000699
70,Barbara Mikulski,110,Sen.,D,,M000702,None
71,Lisa Murkowski,110,Sen.,R,,M001153,N00026050
72,Patty Murray,110,Sen.,D,,M001111,N00007876
73,Bill Nelson,110,Sen.,D,,N000032,N00009926
74,Ben Nelson,110,Sen.,D,,N000180,None
75,Barack Obama,110,Sen.,D,,O000167,None
76,Mark Pryor,110,Sen.,D,,P000590,None
77,Jack Reed,110,Sen.,D,,R000122,N00000362
78,Harry Reid,110,Sen.,D,,R000146,None
79,Pat Roberts,110,Sen.,R,,R000307,N00005285
80,John Rockefeller,110,Sen.,D,,R000361,None
81,Ken Salazar,110,Sen.,D,,S001163,None
82,Bernard Sanders,110,Sen.,ID,,S000033,N00000528
83,Charles Schumer,110,Sen.,D,,S000148,N00001093
84,Jeff Sessions,110,Sen.,R,,S001141,N00003062
85,Richard Shelby,110,Sen.,R,,S000320,N00009920
86,Gordon Smith,110,Sen.,R,,S001142,None
87,Olympia Snowe,110,Sen.,R,,S000663,None
88,Arlen Specter,110,Sen.,R,,S000709,None
89,Debbie Stabenow,110,Sen.,D,,S000770,N00004118
90,Ted Stevens,110,Sen.,R,,S000888,None
91,John Sununu,110,Sen.,R,,S001078,None
92,Jon Tester,110,Sen.,D,,T000464,N00027605
93,Craig Thomas,110,Sen.,R,,T000162,None
94,John Thune,110,Sen.,R,,T000250,N00004572
95,David Vitter,110,Sen.,R,,V000127,None
96,George Voinovich,110,Sen.,R,,V000126,None
97,John Warner,110,Sen.,R,,W000154,None
98,Jim Webb,110,Sen.,D,,W000803,None
99,Sheldon Whitehouse,110,Sen.,D,,W000802,N00027533
100,Roger Wicker,110,Sen.,R,,W000437,N00003280
101,Ron Wyden,110,Sen.,D,,W000779,N00007724
102,Daniel Akaka,111,Sen.,D,,A000069,None
103,Lamar Alexander,111,Sen.,R,,A000360,N00009888
104,John Barrasso,111,Sen.,R,,B001261,N00006236
105,Max Baucus,111,Sen.,D,,B000243,None
106,Evan Bayh,111,Sen.,D,,B001233,None
107,Mark Begich,111,Sen.,D,,B001265,None
108,Michael Bennet,111,Sen.,D,,B001267,N00030608
109,Robert Bennett,111,Sen.,R,,B000382,None
110,Joseph Biden,111,Sen.,D,,B000444,None
111,Jeff Bingaman,111,Sen.,D,,B000468,None
112,Christopher Bond,111,Sen.,R,,B000611,None
113,Barbara Boxer,111,Sen.,D,,B000711,None
114,Scott Brown,111,Sen.,R,,B001268,None
115,Sherrod Brown,111,Sen.,D,,B000944,N00003535
116,Sam Brownback,111,Sen.,R,,B000953,None
117,Jim Bunning,111,Sen.,R,,B001066,None
118,Richard Burr,111,Sen.,R,,B001135,N00002221
119,Roland Burris,111,Sen.,D,,B001266,None
120,Robert Byrd,111,Sen.,D,,B001210,None
121,Maria Cantwell,111,Sen.,D,,C000127,N00007836
122,Benjamin Cardin,111,Sen.,D,,C000141,N00001955
123,Thomas Carper,111,Sen.,D,,C000174,N00012508
124,Bob Casey,111,Sen.,D,,C001070,N00027503
125,Saxby Chambliss,111,Sen.,R,,C000286,None
126,Hillary Clinton,111,Sen.,D,,C001041,None
127,Tom Coburn,111,Sen.,R,,C000560,None
128,Thad Cochran,111,Sen.,R,,C000567,N00003328
129,Susan Collins,111,Sen.,R,,C001035,N00000491
130,Kent Conrad,111,Sen.,D,,C000705,None
131,Christopher Coons,111,Sen.,D,,C001088,N00031820
132,Bob Corker,111,Sen.,R,,C001071,N00027441
133,John Cornyn,111,Sen.,R,,C001056,N00024852
134,Michael Crapo,111,Sen.,R,,C000880,N00006267
135,Jim DeMint,111,Sen.,R,,D000595,None
136,Christopher Dodd,111,Sen.,D,,D000388,None
137,Byron Dorgan,111,Sen.,D,,D000432,None
138,Richard Durbin,111,Sen.,D,,D000563,N00004981
139,John Ensign,111,Sen.,R,,E000194,None
140,Michael Enzi,111,Sen.,R,,E000285,N00006249
141,Russ Feingold,111,Sen.,D,,F000061,None
