,Sector,Year,Count,Cycle
0,oil,,58,2010
1,solar,,7,2010
2,wind,,4,2010
3,hydro,,16,2010
4,nuclear,,19,2010
5,coal,,8,2010
6,oil,,60,2012
7,solar,,8,2012
8,wind,,8,2012
9,hydro,,14,2012
10,nuclear,,20,2012
11,coal,,11,2012
12,oil,,56,2014
13,solar,,8,2014
14,wind,,9,2014
15,hydro,,14,2014
16,nuclear,,20,2014
17,coal,,11,2014
18,oil,,62,2016
19,solar,,8,2016
20,wind,,9,2016
21,hydro,,15,2016
22,nuclear,,20,2016
23,coal,,13,2016
24,oil,,63,2020
25,solar,,9,2020
26,wind,,9,2020
27,hydro,,18,2020
28,nuclear,,21,2020
29,coal,,14,2020
